Date,Avg Length 1,Max Length 1,Min Length 1,Std Length 1,Avg Length 2,Max Length 2,Min Length 2,Std Length 2,Avg Length 3,Max Length 3,Min Length 3,Std Length 3,Avg Length 4,Max Length 4,Min Length 4,Std Length 4,Avg Length 5,Max Length 5,Min Length 5,Std Length 5,Avg Length 6,Max Length 6,Min Length 6,Std Length 6,Avg Length 7,Max Length 7,Min Length 7,Std Length 7,Avg Length 8,Max Length 8,Min Length 8,Std Length 8,Avg Length 9,Max Length 9,Min Length 9,Std Length 9,Avg Length 10,Max Length 10,Min Length 10,Std Length 10
2052023,7.155555555555556,15,2,3.316320219457071,5.589285714285714,12,1,2.477365064405661,7.913043478260869,16,1,3.502116807644678,5.37037037037037,12,1,2.747700411227096,5.457627118644067,11,2,2.373140171240491,5.333333333333333,12,1,2.754454691761611,6.566666666666666,17,2,2.944115502481861,5.780487804878049,13,2,2.562909179587214,5.780487804878049,13,2,2.562909179587214,,,,
3052023,6.0625,11,2,2.137867798392655,6.383333333333334,14,2,2.72522222179992,5.558139534883721,13,1,2.51000213983399,5.277777777777778,13,1,2.146477531389288,5.462962962962963,15,1,3.429687058516723,5.637931034482759,13,2,2.314699600547412,4.764705882352941,8,2,1.821037196376899,4.523809523809524,12,1,2.244104419531485,5.052631578947368,10,2,2.320768172886017,5.4,13.0,0.0,2.415760219040258
4052023,7.235294117647059,13,2,3.211880519351278,5.894736842105263,11,2,2.622440272428743,6.216216216216216,14,1,3.001250990421746,5.458333333333333,10,1,2.283764372728703,6.818181818181818,15,3,2.433035497812398,5.857142857142857,11,2,2.239614479296161,5.05,11,1,2.385318341384141,5.366666666666666,11,2,2.108821101179901,5.208333333333333,13,2,2.360655636779959,,,,
