Date,Stanza Average 1,Stanza Maximum 1,Stanza sd 1,Stanza Minimum 1,Stanza Average 2,Stanza Maximum 2,Stanza sd 2,Stanza Minimum 2,Stanza Average 3,Stanza Maximum 3,Stanza sd 3,Stanza Minimum 3,Stanza Average 4,Stanza Maximum 4,Stanza sd 4,Stanza Minimum 4,Stanza Average 5,Stanza Maximum 5,Stanza sd 5,Stanza Minimum 5,Stanza Average 6,Stanza Maximum 6,Stanza sd 6,Stanza Minimum 6,Stanza Average 7,Stanza Maximum 7,Stanza sd 7,Stanza Minimum 7,Stanza Average 8,Stanza Maximum 8,Stanza sd 8,Stanza Minimum 8,Stanza Average 9,Stanza Maximum 9,Stanza sd 9,Stanza Minimum 9,Stanza Average 10,Stanza Maximum 10,Stanza sd 10,Stanza Minimum 10,Vader sentiment 1,Vader no_of_pos_sent 1,Vader no_of_neg_sent 1,Vader no_of_neu_sent 1,Vader sentiment 2,Vader no_of_pos_sent 2,Vader no_of_neg_sent 2,Vader no_of_neu_sent 2,Vader sentiment 3,Vader no_of_pos_sent 3,Vader no_of_neg_sent 3,Vader no_of_neu_sent 3,Vader sentiment 4,Vader no_of_pos_sent 4,Vader no_of_neg_sent 4,Vader no_of_neu_sent 4,Vader sentiment 5,Vader no_of_pos_sent 5,Vader no_of_neg_sent 5,Vader no_of_neu_sent 5,Vader sentiment 6,Vader no_of_pos_sent 6,Vader no_of_neg_sent 6,Vader no_of_neu_sent 6,Vader sentiment 7,Vader no_of_pos_sent 7,Vader no_of_neg_sent 7,Vader no_of_neu_sent 7,Vader sentiment 8,Vader no_of_pos_sent 8,Vader no_of_neg_sent 8,Vader no_of_neu_sent 8,Vader sentiment 9,Vader no_of_pos_sent 9,Vader no_of_neg_sent 9,Vader no_of_neu_sent 9,Vader sentiment 10,Vader no_of_pos_sent 10,Vader no_of_neg_sent 10,Vader no_of_neu_sent 10,Unnamed: 81,Sentiword sentiment 1,Sentiword no_of_polarized_sent 1,Sentiword total_no_of_sentences 1,Sentiword sentiment 2,Sentiword no_of_polarized_sent 2,Sentiword total_no_of_sentences 2,Sentiword sentiment 3,Sentiword no_of_polarized_sent 3,Sentiword total_no_of_sentences 3,Sentiword sentiment 4,Sentiword no_of_polarized_sent 4,Sentiword total_no_of_sentences 4,Sentiword sentiment 5,Sentiword no_of_polarized_sent 5,Sentiword total_no_of_sentences 5,Sentiword sentiment 6,Sentiword no_of_polarized_sent 6,Sentiword total_no_of_sentences 6,Sentiword sentiment 7,Sentiword no_of_polarized_sent 7,Sentiword total_no_of_sentences 7,Sentiword sentiment 8,Sentiword no_of_polarized_sent 8,Sentiword total_no_of_sentences 8,Sentiword sentiment 9,Sentiword no_of_polarized_sent 9,Sentiword total_no_of_sentences 9,Sentiword sentiment 10,Sentiword no_of_polarized_sent 10,Sentiword total_no_of_sentences 10
2052023,1.151515151515152,2,0.565752381856018,0,1.045454545454545,2,0.5754727023663513,0,1.026315789473684,2,0.2834957557490734,0,1.239130434782609,2,0.6389151433378876,0,0.72,1,0.4535573676110727,0,0.6666666666666666,2,0.5097911392420601,0,0.625,1,0.4945353550468403,0,0.6896551724137931,2,0.5413902920037097,0,0.813953488372093,2,0.4501753073070202,0,0.7090909090909091,2.0,0.5330807482690443,0.0,0,0,0,28,-0.531,0,1,15,0.623,1,0,34,0.655,1,0,36,-0.542,0,1,43,0,0,0,55,0,0,0,21,0,0,0,22,0,0,0,37,0.0,0.0,0.0,42.0,,0.7857142857142857,22,28,0.75,12,16,0.5714285714285714,20,35,0.7837837837837838,29,37,0.8409090909090909,37,44,0.7818181818181819,43,55,0.8095238095238095,17,21,0.7727272727272727,17,22,0.5945945945945946,22,37,0.8333333333333334,35.0,42.0
3052023,0.6984126984126984,2,0.5277744091303819,0,0.8695652173913043,2,0.6255432421712243,0,1.0,2,0.5345224838248488,0,0.9354838709677419,2,0.512216352138283,0,0.8947368421052632,2,0.6058040751966706,0,0.88,2,0.439696865275764,0,0.6559139784946236,1,0.4776442112282626,0,0.625,1,0.4918693768379647,0,0.8125,1,0.396557769456266,0,,,,,0,0,0,50,0.0,0,0,25,0.0,0,0,18,0.0,0,0,10,0.544,1,0,20,0,0,0,9,0,0,0,77,0,0,0,24,0,0,0,19,,,,,,0.88,44,50,0.68,17,25,0.9444444444444444,17,18,0.5,5,10,0.8095238095238095,17,21,0.6666666666666666,6,9,0.7012987012987013,54,77,0.75,18,24,0.7894736842105263,15,19,,,
4052023,0.7083333333333334,2,0.4875203137696194,0,0.75,1,0.4366668823046865,0,0.7857142857142857,1,0.4258153136263201,0,1.1875,2,0.5350610456580119,0,0.9333333333333333,2,0.4497764451088036,0,0.7464788732394366,2,0.4990937461083104,0,0.9523809523809523,2,0.4976133515281193,0,0.8064516129032258,1,0.4016096644512494,0,0.8478260869565217,2,0.6313087395543334,0,,,,,0,0,0,61,0.535,1,0,47,0.0,0,0,13,0.0,0,0,24,0.0,0,0,21,0,0,0,43,0,0,0,19,0,0,0,26,0,0,0,34,,,,,,0.8360655737704918,51,61,0.75,36,48,0.6923076923076923,9,13,0.6666666666666666,16,24,0.5714285714285714,12,21,0.7906976744186046,34,43,0.6842105263157895,13,19,0.7307692307692307,19,26,0.6470588235294118,22,34,,,
