Date,LDA Number of topics 1,LDA Number of topics 2,LDA Number of topics 3,LDA Number of topics 4,LDA Number of topics 5,LDA Number of topics 6,LDA Number of topics 7,LDA Number of topics 8,LDA Number of topics 9,LDA Number of topics 10
2052023,3,3,4,4,1,3,1,1,5,2
3052023,4,1,1,3,3,4,7,2,5,6
4052023,6,9,3,1,7,1,1,2,1,6
