Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 20,29,"['Knudsen', ',', 'Republican', ',', 'issued', 'statement', 'spokesperson', 'saying', 'lawsuit', 'attempt', 'outside', 'groups', 'interfere', 'Montana', '’', 'lawmaking', 'process', '.']",18,"['a', 'a', 'through', 'a', 'the', 'was', 'an', 'by', 'to', 'with', 's']",11,0.38,
Sentence 21,27,"['”', 'Today', '’', 'decision', 'win', 'rule', 'law', 'separation', 'powers', 'enshrined', 'Constitution', ',', ""''"", 'said', '.']",15,"['s', 'is', 'a', 'for', 'the', 'of', 'and', 'the', 'of', 'in', 'our', 'he']",12,0.44,
Sentence 22,25,"['Zephyr', 'several', 'Missoula', 'constituents', 'Monday', 'filed', 'court', 'papers', 'seeking', 'emergency', 'order', 'allowing', 'return', 'House', 'floor', '.']",16,"['and', 'of', 'her', 'on', 'an', 'her', 'to', 'to', 'the']",9,0.36,
Sentence 23,33,"['Zephyr', 'fellow', 'Democrats', 'denounced', 'exclusion', 'floor', 'debates', 'assault', 'free', 'speech', ""'s"", 'intended', 'silence', 'criticism', 'new', 'restrictions', 'gender-affirming', 'care', 'minors', '.']",20,"['and', 'have', 'her', 'from', 'as', 'an', 'on', 'that', 'to', 'her', 'of', 'on', 'for']",13,0.39,
Sentence 24,29,"['lawyers', 'state', 'said', 'censure', 'Zephyr', 'Republican', 'colleagues', '“', 'good', 'cause', ""''"", 'following', 'April', '24', 'demonstration', 'supporters', '.']",17,"['But', 'for', 'the', 'the', 'of', 'by', 'her', 'was', 'for', 'the', 'by', 'her']",12,0.41,
Sentence 25,35,"['“', 'One', 'legislator', 'allowed', 'halt', 'ability', '99', 'engage', 'civil', ',', 'orderly', ',', 'debate', 'concerning', 'issues', 'affecting', 'Montana', ',', '”', 'state', ""'s"", 'lawyers', 'wrote', '.']",24,"['can', 'not', 'be', 'to', 'the', 'of', 'the', 'other', 'to', 'in', 'the']",11,0.31,
Sentence 26,46,"['GOP', 'leaders', 'pressure', 'hard-line', 'conservatives', 'initially', 'silenced', 'Zephyr', 'participating', 'floor', 'debates', 'demanded', 'apologize', 'almost', 'two', 'weeks', 'ago', ',', 'said', 'supported', 'ban', 'gender-affirming', 'care', 'youths', 'would', '“', 'blood', '”', 'hands', '.']",30,"['under', 'from', 'from', 'in', 'and', 'she', 'after', 'she', 'those', 'who', 'a', 'on', 'for', 'have', 'on', 'their']",16,0.35,
Sentence 27,31,"['April', '24', ',', 'Zephyr', 'raised', 'microphone', 'defiance', 'House', 'floor', 'protesters', 'gallery', 'demanded', 'allowed', 'speak', 'refused', 'orders', 'leave', '.']",18,"['On', 'a', 'in', 'on', 'the', 'as', 'in', 'the', 'she', 'be', 'to', 'and', 'to']",13,0.42,
Sentence 28,31,"['Seven', 'people', 'arrested', 'trespassing', 'charges', 'two', 'days', 'later', 'lawmakers', 'voted', 'along', 'party', 'lines', 'oust', 'Zephyr', 'floor', 'gallery', 'remainder', 'session', '.']",20,"['were', 'on', 'and', 'to', 'from', 'the', 'and', 'for', 'the', 'of', 'the']",11,0.35,
Sentence 29,25,"[""'s"", 'since', 'working', 'bench', 'hallway', ',', ""'s"", 'occupied', ',', 'statehouse', 'snack', 'bar', '.']",13,"['She', 'been', 'from', 'a', 'in', 'a', 'and', 'when', 'that', 'been', 'at', 'a']",12,0.48,
Sentence 30,26,"['actions', 'taken', 'Zephyr', 'propelled', 'political', 'prominence', 'made', 'part', 'broader', 'conversations', 'gets', 'speak', 'statehouses', '.']",14,"['The', 'against', 'have', 'her', 'into', 'and', 'her', 'of', 'about', 'who', 'to', 'in']",12,0.46,
Sentence 31,26,"['Montana', ',', 'Republicans', 'hope', 'capitalize', 'high', 'profile', 'painting', 'Democrats', 'party', 'extremists', 'headed', 'next', 'election', '.']",15,"['But', 'in', 'to', 'on', 'her', 'by', 'as', 'a', 'of', 'into', 'the']",11,0.42,
Sentence 32,17,"['lawsuit', 'seeking', 'reverse', 'punishment', 'filed', 'attorneys', 'working', 'Montana', 'ACLU', '.']",10,"['The', 'to', 'her', 'was', 'by', 'with', 'the']",7,0.41,
Sentence 33,13,"['named', 'House', 'Speaker', 'Matt', 'Regier', 'Sergeant-at-Arms', 'Brad', 'Murfitt', 'defendants', '.']",10,"['It', 'and', 'as']",3,0.23,
Sentence 34,32,"['Regier', 'said', 'statement', 'court', 'recognized', '“', 'judicial', 'branch', 'power', 'revise', 'overrule', 'power', 'expressly', 'held', 'Montana', 'State', 'Legislature', '.', '”']",19,"['in', 'a', 'that', 'the', 'that', 'the', 'has', 'no', 'to', 'or', 'the', 'by', 'the']",13,0.41,
