Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 29,28,"['text', 'alarmed', 'Fox', 'board', ',', 'saw', 'message', 'day', 'Fox', 'set', 'defend', 'Dominion', 'Voting', 'Systems', 'jury', '.']",16,"['The', 'the', 'which', 'the', 'a', 'before', 'was', 'to', 'itself', 'against', 'before', 'a']",12,0.43,
Sentence 30,35,"['board', 'grew', 'concerned', 'message', 'could', 'become', 'public', 'trial', 'Mr.', 'Carlson', 'stand', ',', 'creating', 'sensational', 'damaging', 'moment', 'would', 'raise', 'broader', 'questions', 'company', '.']",22,"['The', 'that', 'the', 'at', 'when', 'was', 'on', 'the', 'a', 'and', 'that', 'about', 'the']",13,0.37,
Sentence 31,30,"['day', 'discovery', ',', 'board', 'told', 'Fox', 'executives', 'bringing', 'outside', 'law', 'firm', 'conduct', 'investigation', 'Mr.', 'Carlson', '’', 'conduct', '.']",18,"['The', 'after', 'the', 'the', 'it', 'was', 'in', 'an', 'to', 'an', 'into', 's']",12,0.4,
Sentence 32,47,"['text', 'message', 'added', 'growing', 'number', 'internal', 'issues', 'involving', 'Mr.', 'Carlson', 'led', 'company', '’', 'leadership', 'conclude', 'problem', 'asset', 'go', ',', 'according', 'several', 'people', 'knowledge', 'decision', '.']",25,"['The', 'to', 'a', 'of', 'that', 'the', 's', 'to', 'he', 'was', 'more', 'of', 'a', 'than', 'an', 'and', 'had', 'to', 'to', 'with', 'of', 'the']",22,0.47,
Sentence 33,21,"['messages', 'referred', 'women', '—', 'including', 'senior', 'Fox', 'executive', '—', 'crude', 'misogynistic', 'terms', '.']",13,"['In', 'other', 'he', 'had', 'to', 'a', 'in', 'and']",8,0.38,
Sentence 34,33,"['message', 'fight', 'also', 'played', 'role', 'company', '’', 'decision', 'settle', 'Dominion', '$', '787.5', 'million', ',', 'highest', 'known', 'payout', 'defamation', 'case', '.']",20,"['The', 'about', 'the', 'a', 'in', 'the', 's', 'to', 'with', 'for', 'the', 'in', 'a']",13,0.39,
Sentence 35,11,"['representative', 'Mr.', 'Carlson', 'said', 'comment', '.']",6,"['A', 'for', 'he', 'had', 'no']",5,0.45,
Sentence 36,15,"['text', 'part', 'redacted', 'court', 'filings', 'contents', 'previously', 'unreported', '.']",9,"['The', 'is', 'of', 'and', 'its', 'were']",6,0.4,
Sentence 37,20,"['contents', 'text', 'disclosed', 'interviews', 'several', 'people', 'close', 'defamation', 'lawsuit', 'Fox', '.']",11,"['The', 'of', 'the', 'were', 'in', 'with', 'to', 'the', 'against']",9,0.45,
Sentence 38,27,"['people', 'spoke', 'condition', 'anonymity', 'want', 'identified', 'discussing', 'message', 'protected', 'court', 'order', '.']",12,"['The', 'on', 'the', 'of', 'because', 'they', 'did', 'not', 'to', 'be', 'a', 'that', 'is', 'by', 'a']",15,0.56,
Sentence 39,14,"['public', 'filings', ',', 'remains', 'hidden', 'behind', 'block', 'black', 'text', '.']",10,"['In', 'it', 'a', 'of']",4,0.29,
Sentence 40,31,"['Mr.', 'Carlson', '’', 'messages', 'collected', 'part', 'defamation', 'lawsuit', 'filed', 'Fox', 'Dominion', ',', 'accused', 'network', 'knowingly', 'airing', 'falsehoods', 'election', 'fraud', '.']",20,"['s', 'were', 'as', 'of', 'the', 'against', 'by', 'which', 'the', 'of', 'about']",11,0.35,
Sentence 41,21,"['Many', 'messages', 'shared', 'case', ',', 'including', 'among', 'Fox', 'executives', 'hosts', ',', 'released', 'publicly', '.']",14,"['of', 'the', 'in', 'the', 'those', 'and', 'were']",7,0.33,
Sentence 42,26,"['others', ',', 'like', 'one', 'Mr.', 'Carlson', 'one', 'producers', 'hours', 'Jan.', '6', ',', '2021', ',', 'remain', 'redacted', '.']",17,"['But', 'the', 'between', 'and', 'of', 'his', 'in', 'the', 'after']",9,0.35,
Sentence 43,31,"['text', ',', 'Mr.', 'Carlson', 'described', 'emotions', 'watched', 'video', 'violent', 'clash', ',', 'said', 'took', 'place', 'streets', 'Washington', '.']",17,"['In', 'that', 'his', 'own', 'as', 'he', 'the', 'of', 'the', 'which', 'he', 'on', 'the', 'of']",14,0.45,
Sentence 44,13,"['Mr.', 'Carlson', 'describe', 'race', 'man', 'attacked', '.']",7,"['did', 'not', 'the', 'of', 'the', 'being']",6,0.46,
Sentence 45,23,"['“', 'found', 'rooting', 'mob', 'man', ',', 'hoping', '’', 'hit', 'harder', ',', 'kill', '.']",13,"['I', 'myself', 'for', 'the', 'against', 'the', 'they', 'd', 'him', 'him']",10,0.43,
Sentence 46,9,"['really', 'wanted', 'hurt', 'kid', '.']",5,"['I', 'them', 'to', 'the']",4,0.44,
Sentence 47,9,"['could', 'taste', ',', '”', 'wrote', '.']",6,"['I', 'it', 'he']",3,0.33,
Sentence 48,21,"['“', 'somewhere', 'deep', 'brain', ',', 'alarm', 'went', ':', '’', 'good', '.']",11,"['Then', 'in', 'my', 'an', 'off', 'this', 'isn', 't', 'for', 'me']",10,0.48,
