Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 12,41,"['[', 'RELATED', ':', '5', 'Mesmerizing', 'Live', 'Moments', 'Honor', 'Gordon', 'Lightfoot', ']', 'request', 'daughter', ',', 'Lightfoot', 'made', 'one', 'slight', 'alteration', 'verse', '’', 'trying', 'understand', 'feelings', 'lack', '.']",26,"['in', 'of', 'At', 'the', 'of', 'his', 'to', 'the', 'I', 'm', 'just', 'to', 'the', 'that', 'you']",15,0.37,
Sentence 13,22,"['Instead', ',', 'sang', '’', 'trying', 'understand', 'feelings', 'lack', 'performing', 'song', 'live', '.']",12,"['he', 'I', 'm', 'just', 'to', 'the', 'that', 'we', 'when', 'the']",10,0.45,
Sentence 14,15,"['Cover', 'Story', '“', 'Could', 'Read', 'Mind', ',', '”', 'hit', '.']",10,"['If', 'You', 'My', 'at', 'No']",5,0.33,
Sentence 15,11,"['1', 'Canadian', 'Singles', 'chart', 'peaked', '.']",6,"['on', 'the', 'and', 'at', 'No']",5,0.45,
Sentence 16,19,"['5', 'Billboard', 'Hot', '100', 'covered', 'nearly', '200', 'times', 'past', '50-plus', 'years', '.']",12,"['on', 'the', 'and', 'has', 'been', 'over', 'the']",7,0.37,
Sentence 17,35,"['Barbra', 'Streisand', ',', 'McLean', ',', 'Andy', 'Williams', ',', 'Glen', 'Campbell', ',', 'Neil', 'Young', ',', 'Johnny', 'Mathis', ',', 'Liza', 'Minelli', ',', 'among', 'many', 'artists', 'covered', 'Lightfoot', '’', 'classic', '.']",28,"['Don', 'and', 'are', 'the', 'who', 'have', 's']",7,0.2,
Sentence 18,25,"['Johnny', 'Cash', 'also', 'recorded', 'song', ',', 'released', 'posthumous', 'album', ',', 'American', 'V', ':', 'Hundred', 'Highways', ',', '2006', '.']",18,"['the', 'which', 'was', 'on', 'his', 'A', 'in']",7,0.28,
Sentence 19,27,"['2020', ',', 'Amazon', 'Prime', 'released', 'documentary', 'Lightfoot', ',', 'directed', 'Martha', 'Kehoe', 'Joan', 'Tosoni', ',', 'called', 'Could', 'Read', 'Mind', '.']",19,"['In', 'a', 'on', 'by', 'and', 'If', 'You', 'My']",8,0.3,
Sentence 20,12,"['Photo', 'Mark', 'Horton/Getty', 'Images', 'See', 'members', 'comment', '.']",8,"['by', 'more', 'Only', 'can']",4,0.33,
Sentence 21,4,"['Become', 'member', '.']",3,['a'],1,0.25,
Sentence 22,4,"['Already', 'member', '?']",3,['a'],1,0.25,
Sentence 23,3,"['Log', '.']",2,['In'],1,0.33,
Sentence 24,103,"['May', '23', ',', '2023', ',', '3:00', 'pm', 'May', '23', ',', '2023', ',', '10:00', 'May', '22', ',', '2023', ',', '12:45', 'pm', 'May', '22', ',', '2023', ',', '12:21', 'pm', 'May', '22', ',', '2023', ',', '9:50', 'May', '20', ',', '2023', ',', '9:42', 'April', '26', ',', '2023', ',', '3:25', 'pm', 'April', '24', ',', '2023', ',', '8:37', 'April', '14', ',', '2023', ',', '8:09', 'February', '16', ',', '2023', ',', '9:36', 'February', '15', ',', '2023', ',', '12:51', 'pm', 'October', '18', ',', '2022', ',', '4:27', 'pm', 'Read', 'Read', 'Read', 'Read', 'Read', 'Read', 'Footer', 'Newsletter', 'SignUp', '©', '2023', 'American', 'Songwriter']",91,"['am', 'am', 'am', 'am', 'am', 'am', 'More', 'More', 'More', 'More', 'More', 'More']",12,0.12,
