Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 18,95,"['lab', 'also', 'displayed', 'experiments', ',', 'including', 'towering', 'columnar', 'floor', 'lamps', 'formed', 'compressed', 'salt', 'embedded', 'LEDs', 'yurtlike', 'pavilion', 'covered', 'brown', 'felted', 'wool', 'intended', ',', 'according', 'wall', 'card', ',', 'showcase', 'material', '’', '“', 'aesthetic', 'sound-absorbing', 'properties.', '”', 'Italian', 'designer', 'Lucia', 'Massari', 'born', 'Venice', ',', 'time', 'London', ',', 'studied', 'designers', 'Martino', 'Gamper', 'Jurgen', 'Bey', 'Royal', 'College', 'Art', ',', 'established', 'studio', 'city', '2013', '.']",60,"['The', 'other', 'from', 'with', 'and', 'a', 'in', 'that', 'was', 'to', 'the', 'to', 'the', 's', 'and', 'The', 'was', 'in', 'and', 'after', 'some', 'in', 'where', 'she', 'under', 'the', 'and', 'at', 'the', 'of', 'she', 'a', 'in', 'the', 'in']",35,0.37,
Sentence 19,14,"['Salone', ',', 'collaborated', 'multiple', 'Murano', 'glassmakers', 'installations', '.']",8,"['For', 'she', 'with', 'on', 'a', 'few']",6,0.43,
Sentence 20,38,"['bulbous', 'Animalier', 'vases', ',', 'call', 'mind', 'melted', 'fish', 'bowls', ',', 'handles', 'bright', 'primary', 'pastel', 'shades', ',', 'view', 'part', 'Dolce', '&', 'Gabbana', 'Casa', '’', 'Gen', 'series', '.']",26,"['Her', 'which', 'to', 'with', 'in', 'and', 'were', 'on', 'as', 'of', 's', 'D']",12,0.32,
Sentence 21,24,"['Alcova', ',', 'presented', 'standing', 'lamp', 'two', 'faces', ',', 'light', 'bulb', 'eyes', 'wreath', 'glass', 'flowers', '.']",15,"['At', 'she', 'a', 'with', 'each', 'with', 'and', 'a', 'of']",9,0.38,
Sentence 22,36,"['mesmerizing', 'Toppings', ',', 'collection', 'pastel', 'colored', 'pendant', 'lights', 'shown', 'gallery', 'Nilufar', 'Depot', 'curved', 'like', 'caterpillars', 'decorated', 'glass', 'curls', 'fringed', 'petals', '.']",21,"['But', 'most', 'was', 'a', 'of', 'at', 'the', 'that', 'are', 'and', 'with', 'that', 'themselves', 'are', 'with']",15,0.42,
Sentence 23,17,"['Massari', 'said', 'inspired', 'candies', 'buttercream', 'frosting', 'dreamed', 'design', '.']",9,"['she', 'was', 'by', 'and', 'when', 'she', 'up', 'their']",8,0.47,
Sentence 24,50,"['new', 'Dimore', 'Centrale', 'headquarters', 'gallery', ',', 'opened', 'last', 'year', '’', 'fair', ',', 'Dimore', 'Studio', 'designers', 'Britt', 'Moran', 'Emiliano', 'Salci', 'presented', 'set', 'scenes', 'combined', 'vintage', 'furniture', 'pieces', ',', 'one', 'distinct', 'narrative', 'aesthetic', '.']",32,"['At', 'their', 'and', 'which', 'during', 's', 'the', 'and', 'a', 'of', 'that', 'with', 'their', 'own', 'each', 'with', 'a', 'and']",18,0.36,
Sentence 25,54,"['first', 'four', 'spaces', '—', 'including', 'Ambulatorio', 'Chicago', '(', 'Clinic', 'Chicago', ')', ',', 'meant', 'evoke', 'therapist', '’', 'office', ',', 'Pied-à-Terre', 'con', 'Vista', 'Napoli', '(', 'Pied-à-Terre', 'View', 'Naples', ')', ',', 'adorned', 'handmade', 'teal', 'tiles', '—', 'could', 'viewed', 'holes', 'walls', '.']",38,"['The', 'a', 'in', 'to', 'a', 's', 'and', 'With', 'a', 'of', 'with', 'be', 'only', 'through', 'in', 'their']",16,0.3,
Sentence 26,50,"['windows', 'fifth', 'largest', 'room', ',', 'inspired', 'works', 'Modernist', 'architects', 'Marcel', 'Breuer', 'Ludwig', 'Mies', 'van', 'der', 'Rohe', 'included', 'pieces', ':', 'wicker', 'D52', 'armchair', 'Mies', 'van', 'der', 'Rohe', 'cane', 'Breuer', 'desk', 'chair', '.']",31,"['There', 'were', 'into', 'the', 'and', 'which', 'was', 'by', 'the', 'of', 'the', 'and', 'and', 'by', 'them', 'a', 'by', 'and', 'a']",19,0.38,
Sentence 27,68,"['studio', '’', 'new', 'carpet', 'designs', ',', 'created', 'collaboration', 'French', 'interior', 'design', 'company', 'Pierre', 'Frey', ',', 'view', 'throughout', '(', 'therapist', '’', 'office', ',', 'leafy', 'Iris', 'Field', 'pattern', 'covered', 'walls', 'well', 'floor', ')', 'along', 'new', 'lamps', 'fabrics', ',', 'final', 'room', 'spread', 'across', 'antique', 'beds', 'sourced', 'monastery', '.']",45,"['The', 's', 'in', 'with', 'the', 'were', 'on', 'in', 'the', 's', 'the', 'the', 'as', 'as', 'the', 'with', 'and', 'which', 'in', 'the', 'were', 'from', 'a']",23,0.34,
