Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,10,"['Met', 'Gala', 'Awkward', 'Moments', '2023', 'interesting', 'Met', 'Gala', '.']",9,['An'],1,0.1,
Sentence 2,5,"['interesting', 'Met', 'Gala', '.']",4,['An'],1,0.2,
Sentence 3,11,"['BuzzFeed', 'Staff', 'cockroach', 'arrived', '#', 'MetGala', '.']",7,"['A', 'has', 'at', 'the']",4,0.36,
Sentence 4,21,"['https', ':', '//t.co/OcPy5ckhQN', 'pic.twitter.com/4YiEPs5cIT', 'deep', 'sadness', 'must', 'report', '#', 'MetGala', 'cockroach', 'stepped', '.']",13,"['It', 'is', 'with', 'that', 'we', 'the', 'was', 'on']",8,0.38,
Sentence 5,10,"['#', 'RIP', 'pic.twitter.com/cqtmfFNaKV', 'oh', 'pissed', 'AWF', '.']",7,"['this', 'just', 'me']",3,0.3,
Sentence 6,45,"['tell', 'gigi', '’', 'genuine', '’', 'kendall', 'nasty', 'face', 'right', 'turned', 'around', 'pic.twitter.com/fKmu7JOjB0', 'cat', 'queen', 'Doja', 'Cat', '#', 'MetGala', 'pic.twitter.com/FhcxzacWuN', 'Doja', 'Cat', 'gives', 'Emma', 'Chamberlain', 'interview', 'lifetime', '2023', '#', 'MetGala', '.']",30,"['you', 'can', 's', 'being', 'and', 'there', 's', 'after', 'she', 'The', 'the', 'of', 'a', 'at', 'the']",15,0.33,
Sentence 7,60,"['🐱', 'pic.twitter.com/DRHsrrP9tK', 'DOJA', '’', 'SERIOUS', 'BONE', 'BODY', 'LMAO😭😭😭', 'pic.twitter.com/uCyU5gLazY', 'made', 'sooo', 'uncomfortable', 'ehwhdwuduwhzuwhx', 'pic.twitter.com/Y7t18wvnL6', 'Lala', ':', 'Yung', 'Miami', 'official', '?', 'Diddy', ':', '-sweating', 'profusely-', '’', 'know', '’', 'asking', '#', 'MetGala', 'pic.twitter.com/e6pnVPiwNQ', 'Rihanna', 'asked', 'ET', 'ninth', 'studio', 'album', '.']",38,"['DOESN', 'T', 'HAVE', 'A', 'IN', 'HER', 'This', 'me', 'So', 'you', 'and', 'are', 'I', 'don', 't', 'what', 'you', 're', 'when', 'by', 'about', 'her']",22,0.37,
Sentence 8,14,"['#', 'R9', 'pic.twitter.com/8LxDNLSWtg', 'Aubrey', 'Plaza', 'flips', 'cameras', '#', 'MetGala', '.']",10,"['off', 'the', 'at', 'the']",4,0.29,
Sentence 9,27,"['pic.twitter.com/vbDgY5HtN8', 'painful', 'watch', '😬', '#', 'MetGala', '#', 'ChloeFineman', '#', 'StellaMcCartney', 'pic.twitter.com/gdAGD9eTPW', 'One', 'thing', 'Doja', 'vape', 'stays', 'times', 'pic.twitter.com/oktOssQRwZ']",18,"['This', 'is', 'to', 'about', 'a', 'with', 'her', 'at', 'all']",9,0.33,
