Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 14,59,"['headline', '“', 'Meet', 'American', 'Mayor', 'happens', 'Muslim', '”', ',', 'campaign', 'urges', 'voters', '“', 'act', 'locally', 'think', 'globally.', '”', '“', 'Fleeing', 'homeland', 'Syria', '1980', ',', 'Mayor', 'Khairullah', 'sought', 'shape', 'new', 'meaning', 'hope', 'civic', 'engagement', 'grassroots', 'activism', ',', '”', 'campaign', 'website', 'explains', '.']",41,"['Under', 'the', 'the', 'who', 'to', 'be', 'a', 'the', 'to', 'his', 'of', 'in', 'to', 'a', 'of', 'through', 'and', 'the']",18,0.31,
Sentence 15,56,"['“', 'former', 'volunteer', 'firefighter', 'relief', 'efforts', 'inside', 'war-torn', 'Syria', ',', 'Mayor', 'Khairullah', 'demonstrated', 'courage', 'running', 'towards', 'danger', 'people', 'run', 'away', 'from.', '”', '2001', ',', 'one', 'year', 'becoming', 'citizen', ',', 'successfully', 'ran', 'Council', 'diverse', 'community', 'close', '6,300', 'residents', '.']",38,"['As', 'a', 'and', 'through', 'his', 'by', 'that', 'most', 'In', 'just', 'after', 'a', 'he', 'for', 'in', 'the', 'with', 'to']",18,0.32,
Sentence 16,32,"['“', 'four', 'short', 'years', 'serving', 'Councilman', ',', 'unanimously', 'supported', 'colleagues', 'council', 'become', 'mayor', ',', '”', 'according', 'campaign', 'website', '.']",19,"['After', 'of', 'as', 'he', 'was', 'by', 'his', 'on', 'the', 'to', 'the', 'to', 'the']",13,0.41,
Sentence 17,110,"['“', 'eleven', 'years', ',', 'since', 'November', '2005', ',', 'residents', 'Prospect', 'Park', 're-elected', 'Mayor', 'Khairullah', 'office', 'three', 'consecutive', 'terms.', '”', 'would', 'expected', 'website', 'recounts', 'Khairullah', '’', 'efforts', '“', 'promote', 'economic', 'development', 'well', '“', 'capital', 'improvements', 'Hofstra', 'Park', '”', 'Mayor', 'Wellness', 'Campaign', '“', 'enhance', 'services', 'provide', 'residents', 'resourceful', 'base', 'safe', ',', 'inclusive', ',', 'nurturing', 'community.', '”', '“', 'freshman', 'college', ',', 'started', 'volunteering', 'local', 'fire', 'department', ',', 'journey', 'lasted', '14', 'years', ',', '”', 'according', 'campaign', 'bio', '.']",74,"['For', 'over', 'now', 'of', 'the', 'of', 'have', 'to', 'for', 'As', 'be', 'the', 's', 'to', 'as', 'as', 'at', 'and', 'a', 'to', 'that', 'with', 'a', 'for', 'a', 'and', 'As', 'a', 'in', 'he', 'for', 'the', 'a', 'that', 'to', 'the']",36,0.33,
Sentence 18,115,"['“', 'starting', 'relief', 'efforts', 'Syria', ',', 'Mayor', 'Khairullah', 'helped', 'relief', 'campaigns', 'people', 'Dominican', 'Republic', 'Haiti', 'times', 'crisis.', '”', 'website', 'discloses', '“', 'current', 'conflict', 'homeland', 'Syria', ',', 'Mayor', 'actively', 'inside', 'country', 'seven', 'times', 'delivering', 'food', ',', 'medical', 'school', 'supplies', ',', 'helping', 'equip', 'underground', 'medical', 'facilities.', '”', 'Sadly', ',', 'surprisingly', 'Khairullah', '’', 'first', 'run', 'national', 'security', 'state', 'failed', 'see', 'clear', 'present', 'danger', 'mob', 'white', 'supremacists', 'storming', 'U.S.', 'Capitol', 'regularly', 'racially', 'profiles', 'Muslim', 'Americans', '.']",72,"['Before', 'his', 'for', 'in', 'for', 'the', 'of', 'the', 'and', 'during', 'their', 'of', 'The', 'that', 'during', 'the', 'in', 'his', 'of', 'the', 'has', 'been', 'the', 'and', 'and', 'but', 'not', 'this', 'was', 'not', 's', 'in', 'with', 'a', 'that', 'to', 'the', 'and', 'of', 'a', 'of', 'the', 'but']",43,0.37,
Sentence 19,33,"['Back', 'August', '2019', ',', 'married', 'father', 'four', 'detained', 'three', 'hours', 'Custom', 'Border', 'Patrol', ',', 'return', 'flight', 'Turkey', 'landed', 'JFK', 'International', 'Airport', '.']",22,"['in', 'of', 'the', 'of', 'was', 'for', 'by', 'after', 'his', 'from', 'at']",11,0.33,
Sentence 20,47,"['trip', ',', 'Khairullah', ',', 'wife', ',', 'children', '1,2,9', '10', '“', 'visited', 'relatives', 'Turkey', 'Syrians', 'displaced', 'war', '”', '“', 'Khairullah', 'met', 'mayors', 'different', 'towns', 'talk', 'government', 'business', ',', '”', 'USA', 'Today', 'reported', '.']",32,"['On', 'that', 'his', 'and', 'and', 'in', 'who', 'are', 'by', 'and', 'with', 'of', 'to', 'about', 'and']",15,0.32,
Sentence 21,39,"['“', 'screening', ',', 'said', ',', 'asked', 'studied', 'college', ',', 'works', ',', 'mother', '’', 'name', ',', 'nicknames', 'traveled', ',', '”', 'newspaper', 'reported', '.']",22,"['During', 'the', 'he', 'they', 'him', 'what', 'he', 'in', 'where', 'he', 'his', 's', 'his', 'and', 'where', 'he', 'the']",17,0.44,
Sentence 22,24,"['“', 'Khairullah', 'said', 'asked', 'whether', '’', 'visited', 'towns', 'terrorist', 'cells', 'whether', 'personally', 'met', 'terrorists', '.']",15,"['they', 'he', 'd', 'any', 'with', 'and', 'he', 'with', 'any']",9,0.38,
Sentence 23,13,"['“', '’', 'flat-out', 'insulting', ',', '”', 'Khairullah', 'told', 'USA', 'Today', '.']",11,"['It', 's']",2,0.15,
Sentence 24,34,"['“', '’', 'flat-out', 'stereotyping', 'Muslims', 'Arabs.', '”', 'popular', 'Prospect', 'Park', 'mayor', 'turned', 'cell', 'phone', 'requested', 'CBP', 'officers', 'taken', 'another', 'room', '.']",21,"['It', 's', 'of', 'and', 'The', 'over', 'his', 'as', 'by', 'the', 'which', 'was', 'to']",13,0.38,
Sentence 25,24,"['time', 'went', ',', 'Khairullah', 'decided', 'call', 'attorney', 'withdrew', 'consent', 'officials', 'search', 'phone', '.']",13,"['As', 'by', 'to', 'an', 'and', 'his', 'for', 'to', 'the', 'of', 'his']",11,0.46,
Sentence 26,20,"['CBP', 'kept', 'cell', 'phone', '12', 'days', 'lawyer', 'Council', 'American-Islamic', 'Relations', 'intervened', '.']",12,"['The', 'the', 'for', 'until', 'a', 'from', 'the', 'on']",8,0.4,
Sentence 27,32,"['addition', 'civic', 'activities', ',', 'Khairullah', 'distinguished', 'career', 'public-school', 'administrator', 'serving', 'assistant', 'principal', 'Passaic', 'County', '’', 'Technical', 'Vocational', 'School', 'District', '.']",20,"['In', 'to', 'his', 'has', 'had', 'a', 'as', 'a', 'as', 'an', 'with', 's']",12,0.38,
Sentence 28,60,"['’', 'totally', 'surreal', 'disquieting', 'law-enforcement', 'security', 'apparatus', 'targeting', 'upstanding', 'citizens', 'like', 'Prospect', 'Park', '’', 'Mayor', ',', 'tolerates', 'may', 'even', 'covering', 'folks', 'still', 'federal', 'elected', 'office', 'voted', 'overturn', 'lawful', '2020', 'election', 'results', 'Trump', '’', 'thugs', 'attacked', 'U.S.', 'Capitol', '.']",38,"['What', 's', 'and', 'is', 'that', 'while', 'our', 'is', 's', 'it', 'and', 'be', 'for', 'that', 'are', 'in', 'who', 'to', 'the', 'after', 's', 'the']",22,0.37,
Sentence 29,9,"['’', ',', 'much', '.']",4,"['And', 'there', 's', 'more', 'more']",5,0.56,
Sentence 30,48,"['Back', 'Dec.', '11', ',', '2020', ',', 'Rep.', 'Pascrell', 'wrote', 'Speaker', 'Pelosi', 'Jan.', '6', 'point', '126', 'House', 'Republicans', 'signed', '“', 'malignant', 'lawsuit', 'filed', 'state', 'Texas', 'states', 'Georgia', ',', 'Michigan', ',', 'Pennsylvania', ',', 'Wisconsin', '.']",33,"['on', 'before', 'to', 'out', 'that', 'had', 'on', 'a', 'by', 'the', 'of', 'against', 'the', 'of', 'and']",15,0.31,
Sentence 31,95,"['suit', 'demands', 'voters', 'states', 'overturned', 'Electoral', 'College', 'votes', 'stolen', 'awarded', 'Donald', 'Trump.', '”', 'Pascrell', 'urged', 'close', 'reading', 'Constitution', '’', '14th', 'amendment', ',', 'passed', 'trauma', 'Civil', 'War', 'gave', 'Congress', 'power', 'seat', 'members', '“', 'engaged', 'insurrection', 'rebellion.', '”', '“', 'Stated', 'simply', ',', 'men', 'women', 'would', 'act', 'tear', 'United', 'States', 'government', 'apart', 'serve', 'Members', 'Congress', ',', '”', 'Pascrell', 'wrote', '.']",57,"['This', 'the', 'will', 'of', 'the', 'of', 'these', 'be', 'and', 'the', 'be', 'and', 'to', 'a', 'of', 'the', 's', 'after', 'the', 'of', 'the', 'which', 'the', 'to', 'not', 'that', 'have', 'in', 'or', 'and', 'who', 'to', 'the', 'can', 'not', 'as', 'of', 'the']",38,0.4,
