Date,Total adjectives 1,Total proper names 1,Total words 1,Total adjectives 2,Total proper names 2,Total words 2,Total adjectives 3,Total proper names 3,Total words 3,Total adjectives 4,Total proper names 4,Total words 4,Total adjectives 5,Total proper names 5,Total words 5,Total adjectives 6,Total proper names 6,Total words 6,Total adjectives 7,Total proper names 7,Total words 7,Total adjectives 8,Total proper names 8,Total words 8,Total adjectives 9,Total proper names 9,Total words 9,Total adjectives 10,Total proper names 10,Total words 10
2052023,110,168,896,99,157,815,47,103,485,34,165,486,41,991,2024,224,523,1993,65,216,653,15,48,155,150,234,1243,150.0,234.0,1243.0
3052023,95,145,872,131,188,1043,86,119,651,80,497,1468,321,425,2923,91,192,951,22,55,251,44,151,550,27,103,292,48.0,123.0,622.0
4052023,40,81,312,45,92,380,68,100,693,50,92,363,123,129,858,56,48,430,53,115,480,41,100,318,67,176,674,,,
