Date,Total adjectives 1,Total proper names 1,Total words 1,Total adjectives 2,Total proper names 2,Total words 2,Total adjectives 3,Total proper names 3,Total words 3,Total adjectives 4,Total proper names 4,Total words 4,Total adjectives 5,Total proper names 5,Total words 5,Total adjectives 6,Total proper names 6,Total words 6,Total adjectives 7,Total proper names 7,Total words 7,Total adjectives 8,Total proper names 8,Total words 8,Total adjectives 9,Total proper names 9,Total words 9,Total adjectives 10,Total proper names 10,Total words 10
2052023,55,63,377,38,45,263,59,78,402,65,92,473,110,168,896,99,157,815,47,103,485,48,59,313,48,142,651,92.0,105.0,839.0
3052023,105,181,1002,49,60,355,38,63,265,14,128,241,49,114,495,12,46,136,127,211,1135,57,88,488,44,113,385,,,
4052023,167,290,1418,108,225,1135,16,46,219,50,132,440,42,83,384,121,300,1197,45,41,348,69,111,493,74,87,587,,,
