Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 16,36,"['Great', 'British', 'Baking', 'Show', ':', 'Juniors', ':', 'Season', '7', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'new', 'season', 'brings', 'tricky', 'Technicals', ',', 'spectacular', 'Showstoppers', 'amazingly', 'talented', 'kids', 'big', 'white', 'tent', '.']",30,"['From', 'A', 'more', 'and', 'to', 'the']",6,0.17,
Sentence 17,9,"['marks', ',', 'get', 'set', '...', 'bake', '!']",7,"['On', 'your']",2,0.22,
Sentence 18,17,"['Arctic', 'Dogs', 'Larva', 'Family', '(', 'Netflix', 'Family', ')', 'Netflix', ':', 'Larva', 'family', 'growing', '!']",14,"['From', 'The', 'is']",3,0.18,
Sentence 19,24,"['Red', 'Yellow', 'welcome', 'baby', 'caterpillar', 'lives', ',', 'get', 'crash', 'course', 'parenting', 'things', 'putrid', '.']",14,"['When', 'and', 'a', 'into', 'their', 'they', 'a', 'in', 'and', 'all']",10,0.42,
Sentence 20,38,"['Queen', 'Charlotte', ':', 'Bridgerton', 'Story', '(', 'Netflix', 'Series', ')', 'Young', 'Queen', 'Charlotte', '’', 'marriage', 'King', 'George', 'England', 'sparks', 'epic', 'love', 'story', 'transforms', 'high', 'society', '“', 'Bridgerton', '”', 'universe', 'prequel', '.']",30,"['A', 's', 'to', 'of', 'an', 'and', 'in', 'this']",8,0.21,
Sentence 21,33,"['Sanctuary', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'tough', ',', 'desperate', 'kid', 'becomes', 'sumo', 'wrestler', ',', 'captivating', 'fans', 'cocky', 'attitude', '—', 'upsetting', 'industry', 'steeped', 'tradition', '.']",25,"['From', 'A', 'a', 'with', 'his', 'and', 'an', 'in']",8,0.24,
Sentence 22,57,"['Man', 'Called', 'Otto', 'Justice', 'League', ':', 'Seasons', '1-2', 'Justice', 'League', 'Unlimited', ':', 'Seasons', '1-2', 'Spirit', 'Rangers', ':', 'Season', '2', '(', 'Netflix', 'Family', ')', 'Netflix', ':', 'Eddy', ',', 'Summer', 'Kodi', 'back', 'action', 'Xus', 'National', 'Park', ',', 'learning', 'nature', 'exciting', 'adventures', 'new', 'visitors', '—', 'old', 'friends', ',', '!']",46,"['A', 'From', 'and', 'are', 'in', 'at', 'about', 'on', 'with', 'and', 'too']",11,0.19,
Sentence 23,3,"['Documentary', '!']",2,['Now'],1,0.33,
Sentence 24,44,"[':', 'Season', '4', 'Hannah', 'Gadsby', ':', 'Something', 'Special', '(', 'Netflix', 'Comedy', ')', 'Netflix', ':', 'Emmy', 'Peabody', 'Award', 'winning', 'comedian', 'Hannah', 'Gadsby', 'back', 'third', 'Netflix', 'comedy', 'special', ',', 'Something', 'Special', ',', '’', 'feel', 'good', 'show', '.']",35,"['From', 'and', 'is', 'for', 'their', 'and', 'it', 's', 'a']",9,0.2,
Sentence 25,2,"['Seriously', '.']",2,[],0,0.0,
Sentence 26,21,"['smart', 'dare', 'say', '...', 'feel', 'good', 'set', ',', 'comedian', 'talks', 'wedding', '(', '!']",13,"['In', 'this', 'and', 'we', 'the', 'about', 'a', 'theirs']",8,0.38,
Sentence 27,14,"[')', ',', 'one', 'traumatic', 'encounter', 'bunny', 'much', '.']",8,"['more', 'than', 'with', 'a', 'and', 'more']",6,0.43,
Sentence 28,17,"['Filmed', 'Sydney', 'Opera', 'House', ',', 'Something', 'Special', 'premieres', 'globally', 'Netflix', 'May', '9', '.']",13,"['at', 'the', 'on', 'on']",4,0.24,
Sentence 29,36,"['Dance', 'Brothers', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'Two', 'brothers', 'trying', 'make', 'dancers', 'open', 'club', ',', 'artistic', 'drive', 'soon', 'clashes', 'business', ',', 'threatening', 'relationship', '.']",25,"['From', 'to', 'it', 'as', 'their', 'own', 'but', 'their', 'with', 'the', 'their']",11,0.31,
Sentence 30,6,"['Missing', ':', 'Dead', 'Alive', '?']",5,['or'],1,0.17,
Sentence 31,31,"['(', 'Netflix', 'Documentary', ')', 'Netflix', ':', 'Follow', 'officers', 'South', 'Carolina', 'sheriff', '’', 'department', 'urgently', 'search', 'individuals', '’', 'disappeared', 'troubling', 'circumstances', '.']",21,"['From', 'from', 'a', 's', 'as', 'they', 'for', 'who', 've', 'under']",10,0.32,
Sentence 32,29,"['Queen', 'Cleopatra', '(', 'Netflix', 'Documentary', ')', 'Netflix', ':', 'Executive', 'Producer', 'Jada', 'Pinkett', 'Smith', 'comes', 'documentary', 'series', 'exploring', 'lives', 'prominent', 'iconic', 'African', 'Queens', '.']",23,"['From', 'From', 'a', 'the', 'of', 'and']",6,0.21,
Sentence 33,37,"['season', 'feature', 'Queen', 'Cleopatra', ',', 'world', '’', 'famous', ',', 'powerful', ',', 'misunderstood', 'woman', '—', 'daring', 'queen', 'whose', 'beauty', 'romances', 'came', 'overshadow', 'real', 'asset', ':', 'intellect', '.']",26,"['This', 'will', 'the', 's', 'most', 'and', 'a', 'and', 'to', 'her', 'her']",11,0.3,
