Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 20,19,"['BREEDING', 'Freeform', 'series', 'Breeding', 'shut', 'post-production', 'amid', 'writers', 'strike', '.']",10,"['WHILE', 'YOU', 'WERE', 'While', 'You', 'Were', 'has', 'down', 'the']",9,0.47,
Sentence 21,20,"['CALL', 'Dick', 'Wolf-exec', 'produced', 'drama', 'series', 'Call', 'shut', 'production', 'day', 'amid', 'WGA', 'picketing', '.']",14,"['ON', 'On', 'has', 'down', 'for', 'the']",6,0.3,
Sentence 22,33,"['Wolf', '’', 'first', 'scripted', 'streaming', 'series', 'Amazon', 'Prime', 'Video', 'shooting', 'Long', 'Beach', ',', 'California', ',', 'Friday', 'suspended', 'day', ',', 'Universal', 'Television', 'confirmed', '.']",23,"['s', 'for', 'was', 'down', 'in', 'but', 'has', 'now', 'for', 'the']",10,0.3,
Sentence 23,16,"['CHI', 'Showtime', 'drama', 'Chi', 'canceled', 'location', 'shoot', 'Friday', 'due', 'WGA', 'picketing', '.']",12,"['THE', 'The', 'a', 'to']",4,0.25,
Sentence 24,17,"['series', ',', 'filming', 'Chicago', ',', 'slated', 'resume', 'production', 'Monday', '.']",10,"['The', 'which', 'is', 'in', 'is', 'to', 'on']",7,0.41,
Sentence 25,32,"['FBI', ':', 'WANTED', 'first', 'spinoff', 'CBS', '’', 'FBI', 'series', 'Thursday', 'became', 'latest', 'New', 'York-shot', 'series', 'targeted', 'WGA', '’', 'Rapid', 'Response', 'Team', '.']",22,"['MOST', 'The', 'from', 'on', 'the', 'to', 'be', 'by', 'the', 's']",10,0.31,
Sentence 26,23,"['pause', ',', 'drama', 'starring', 'Dylan', 'McDermott', 'Alexa', 'Davalos', 'resumed', 'filming', 'location', 'Greenpoint', 'neighborhood', 'Brooklyn', '.']",15,"['After', 'the', 'the', 'and', 'on', 'in', 'the', 'of']",8,0.35,
Sentence 27,38,"['PRETTY', 'LITTLE', 'LIARS', ':', 'SUMMER', 'SCHOOL', 'HBO', 'Max', '’', 'Pretty', 'Little', 'Liars', ':', 'Summer', 'School', ',', 'fourth', 'show', 'PLL', 'franchise', ',', 'filming', 'town', 'Newburgh', ',', 'outside', 'Big', 'Apple', '.']",29,"['s', 'the', 'in', 'the', 'was', 'in', 'the', 'of', 'the']",9,0.24,
Sentence 28,33,"['’', 'unclear', 'whether', 'production', 'formally', 'shut', 'day', ',', 'past', ',', 'shows', 'like', 'Billions', 'halted', 'filming', 'hours', 'due', 'picketing', '.']",19,"['It', 's', 'the', 'down', 'for', 'the', 'but', 'in', 'the', 'have', 'for', 'a', 'few', 'to']",14,0.42,
Sentence 29,44,"['POWER', 'BOOK', 'II', ':', 'GHOST', 'first', 'spinoff', 'Starz', '’', 'Powerverse', 'attempting', 'shoot', 'NYC', '’', 'Tribeca', 'neighborhood', ',', 'everything', 'came', 'stand', 'still', 'WGA', 'East', '’', 'swift', 'moving', 'Rapid', 'Response', 'Team', 'arrived', '.']",31,"['The', 'in', 's', 'was', 'to', 'in', 's', 'but', 'to', 'a', 'when', 'the', 's']",13,0.3,
Sentence 30,27,"['P-VALLEY', 'Starz', '’', 'P-Valley', ',', 'filming', 'third', 'season', ',', 'postponed', 'production', 'Atlanta', 'result', 'writers', 'strike', '.']",16,"['s', 'which', 'is', 'its', 'has', 'its', 'in', 'as', 'a', 'of', 'the']",11,0.41,
Sentence 31,25,"['May', '10', ',', 'creator', 'showrunner', 'Katori', 'Hall', 'said', ',', '“', 'filming', 'fair', 'deal', 'reached', '”', '.']",16,"['On', 'and', 'We', 'will', 'not', 'be', 'until', 'a', 'is']",9,0.36,
Sentence 32,78,"['DAREDEVIL', ':', 'BORN', 'bedeviled', 'earlier', 'week', '(', 'May', '8', ')', 'WGA', 'East', 'pickets', 'shutting', 'spell', ',', 'Marvel', '’', 'upcoming', 'revival', 'Disney+', 'targeted', 'today', '(', 'May', '10', ')', 'Daredevil', 'gone', 'dark', 'rest', 'week', 'BILLIONS', 'Showtime', 'series', 'shut', 'several', 'hours', 'May', '4', 'cast', 'crew', 'members', 'refused', 'cross', 'WGA', 'picket', 'lines', '.']",49,"['AGAIN', 'After', 'being', 'this', 'by', 'and', 'down', 'for', 'a', 's', 'on', 'was', 'once', 'again', 'Now', 'has', 'for', 'the', 'of', 'the', 'The', 'was', 'down', 'for', 'on', 'after', 'and', 'to', 'the']",29,0.37,
Sentence 33,7,"['Filming', 'resumed', 'later', 'day', '.']",5,"['in', 'the']",2,0.29,
Sentence 34,43,"['However', ',', 'today', '(', 'May', '10', ')', 'saw', 'two', 'sets', 'WGA', 'East', 'strikers', 'prevent', 'Wall', 'Street', 'drama', '’', 'seventh', 'final', 'season', 'shooting', 'location', ',', 'Billions', 'shut', 'solid', 'start-up', 'time', 'date', 'announced', '.']",32,"['of', 'the', 's', 'and', 'from', 'on', 'down', 'again', 'with', 'no', 'or']",11,0.26,
Sentence 35,28,"['AVA', 'DUVERNAY', 'DRAMA', 'Starz', '’', 'untitled', 'romantic', 'drama', 'Ava', 'DuVernay', ',', 'starring', 'Lauren', 'Ridloff', 'Joshua', 'Jackson', ',', 'halting', 'production', 'due', 'strike', '.']",22,"['s', 'from', 'and', 'is', 'to', 'the']",6,0.21,
Sentence 36,16,"['series', 'filming', 'Wilmington', 'since', 'March', 'stopping', 'production', 'week', '.']",9,"['The', 'had', 'been', 'in', 'but', 'is', 'this']",7,0.44,
Sentence 37,22,"['SINKING', 'SPRING', 'WGA', 'picketers', 'shuttered', 'production', 'Apple', 'TV+', 'series', 'day', '(', 'Tuesday', ',', 'May', '9', ')', '.']",17,"['have', 'on', 'the', 'for', 'the']",5,0.23,
Sentence 38,28,"['GOOD', 'TROUBLE', 'Production', 'fifth', 'season', 'Freeform', 'series', 'halted', 'day', 'Tuesday', '(', 'May', '9', ')', 'result', 'WGA', 'picketing', '.']",18,"['on', 'the', 'of', 'the', 'was', 'for', 'the', 'as', 'a', 'of']",10,0.36,
Sentence 39,18,"['SEVERANCE', 'Apple', 'TV+', 'drama', 'series', 'paused', 'production', 'second', 'season', 'due', 'strike', 'picketing', '.']",13,"['The', 'has', 'on', 'its', 'to']",5,0.28,
Sentence 40,39,"['WGA', 'members', 'strike', 'walk', 'line', 'sunrise', 'picket', 'York', 'Studios', 'Bronx', 'Westchester', ',', 'shutting', 'production', '“', 'Severence', ',', '”', 'members', 'IATSE', 'Teamsters', 'respect', 'picket', 'line', '.']",25,"['on', 'the', 'for', 'a', 'at', 'in', 'the', 'and', 'down', 'on', 'as', 'of', 'and', 'our']",14,0.36,
Sentence 41,45,"['#', 'ShutItDown', '#', 'SolidarityForever', '#', 'WGAStrike', '#', 'WGAStrong', '#', '1u', 'pic.twitter.com/BGA0dZFf1S', 'KNIGHT', 'SEVEN', 'KINGDOMS', ':', 'HEDGE', 'KNIGHT', 'Game', 'Thrones', 'prequel', 'closed', 'writers', 'room', '“', 'duration', '”', 'strike', ',', 'says', 'co-creator', 'George', 'R.R', '.']",33,"['A', 'OF', 'THE', 'THE', 'The', 'of', 'has', 'its', 'for', 'the', 'of', 'the']",12,0.27,
Sentence 42,16,"['Martin', 'BUNK', '’', 'Filming', 'Season', '7', 'suspended', 'amid', 'WGA', 'strike', '.']",11,"['D', 'on', 'has', 'been', 'the']",5,0.31,
Sentence 43,14,"['EVIL', 'Production', 'Season', '4', 'shut', 'Friday', ',', 'May', '5', 'amid', 'picketing', '.']",12,"['on', 'down']",2,0.14,
Sentence 44,38,"['RELATED', ':', 'Deadline', '’', 'Full', 'Strike', 'Coverage', 'MTV', 'MOVIE', '&', 'TV', 'AWARDS', 'MTV', 'Movie', '&', 'TV', 'Awards', 'pivoted', 'pre-taped', 'ceremony', 'amid', 'writers', 'strike', 'talent', 'pulling', 'support', 'movement', '.']",28,"['s', 'The', 'to', 'a', 'the', 'and', 'out', 'in', 'of', 'the']",10,0.26,
Sentence 45,13,"['Drew', 'Barrymore', 'earlier', 'dropped', 'host', 'support', 'writers', '.']",8,"['out', 'as', 'in', 'of', 'the']",5,0.38,
Sentence 46,13,"['STRANGER', 'THINGS', 'Production', 'fifth', 'final', 'season', 'delayed', 'due', 'strike', '.']",10,"['on', 'and', 'to']",3,0.23,
Sentence 47,24,"['LOOT', 'Production', 'Season', '2', 'Apple', 'comedy', 'series', 'starring', 'Maya', 'Rudolph', 'paused', 'due', 'WGA', 'picketers', 'Bel-Air', 'location', '.']",17,"['on', 'of', 'the', 'has', 'to', 'at', 'its']",7,0.29,
Sentence 48,30,"['HACKS', 'Filming', 'Season', '3', 'HBO', 'Max/Universal', 'TV', 'comedy', 'hit', 'starring', 'Jean', 'Smart', 'Hannah', 'Einbinder', 'halted', 'writers', 'strike', ',', 'Deadline', 'learned', '.']",21,"['on', 'of', 'and', 'has', 'been', 'because', 'of', 'the', 'has']",9,0.3,
Sentence 49,36,"['UNSTABLESources', 'tell', 'Deadline', 'production', 'second', 'season', 'Netflix', 'series', 'starring', 'Rob', 'Lowe', 'son', 'John', 'Owen', 'Lowe', ',', 'launched', 'end', 'March', ',', 'shut', '.']",22,"['that', 'on', 'the', 'of', 'the', 'and', 'his', 'which', 'at', 'the', 'of', 'has', 'been', 'down']",14,0.39,
Sentence 50,20,"['NIGHT', 'COURT', 'According', 'sources', ',', 'NBC', '’', 'Night', 'Court', 'currently', 'production', 'second', 'season', '.']",14,"['to', 's', 'is', 'in', 'on', 'its']",6,0.3,
Sentence 51,19,"['sitcom', 'week', 'supposed', 'resume', 'filming', 'next', 'week', ',', 'sources', 'tell', 'Deadline', '.']",12,"['The', 'is', 'off', 'this', 'but', 'was', 'to']",7,0.37,
