Date,LDA Number of topics 1,LDA Number of topics 2,LDA Number of topics 3,LDA Number of topics 4,LDA Number of topics 5,LDA Number of topics 6,LDA Number of topics 7,LDA Number of topics 8,LDA Number of topics 9,LDA Number of topics 10
2052023,9,6,7,6,5,6,5,8,5,5.0
3052023,5,5,6,5,6,7,6,8,6,
4052023,7,8,8,6,9,5,8,5,5,
