Date,LDA Number of topics 1,LDA Number of topics 2,LDA Number of topics 3,LDA Number of topics 4,LDA Number of topics 5,LDA Number of topics 6,LDA Number of topics 7,LDA Number of topics 8,LDA Number of topics 9,LDA Number of topics 10
2052023,5,8,5,5,6,5,8,5,5,8
3052023,5,9,9,8,5,9,7,9,5,6
4052023,6,9,8,5,7,5,5,6,6,6
