Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 18,26,"['PENTAGON', 'DOCTOR', 'CLAIMS', 'PRESCRIBING', 'TRANSGENDER', 'DRUGS', 'MINORS', 'CAUSE', 'PSYCHOTIC', 'ILLNESS', '‘', 'MELT', 'AWAY', '’', 'Stanley', 'previously', 'ventured', 'contentious', 'culture', 'debates', '.']",21,"['TO', 'CAN', 'TO', 'has', 'into']",5,0.19,
Sentence 19,21,"['2017', ',', 'KISS', 'concert', ',', 'appeared', 'call', 'Colin', 'Kaepernick', 'disrespecting', 'national', 'anthem', '.']",13,"['In', 'during', 'a', 'he', 'to', 'out', 'for', 'the']",8,0.38,
Sentence 20,23,"['``', 'case', ""n't"", 'know', 'tour', 'called', ""'Freedom"", 'Rock', '[', 'tour', ']', ',', ""''"", 'Stanley', 'said', '.']",16,"['In', 'you', 'did', 'this', 'is', 'the', 'to']",7,0.3,
Sentence 21,20,"['``', 'lot', 'times', 'people', 'born', 'free', 'think', 'freedom', 'free', ""'s"", '.']",11,"['A', 'of', 'that', 'are', 'that', 'is', 'and', 'it', 'not']",9,0.45,
Sentence 22,17,"['Freedom', 'free', 'people', 'willing', 'sacrifice', 'keep', 'us', 'free', '.', ""''""]",10,"['is', 'only', 'because', 'there', 'are', 'to', 'to']",7,0.41,
Sentence 23,31,"['leading', 'crowd', 'rock', 'version', '``', 'Star-Spangled', 'Banner', ',', ""''"", 'also', 'announced', '$', '150,000', 'donation', '``', 'Hiring', 'Heroes', ""''"", 'organization', '.']",20,"['After', 'the', 'in', 'a', 'of', 'the', 'he', 'a', 'to', 'the', 'Our']",11,0.35,
Sentence 24,29,"['DONNINGTON', ',', 'ENGLAND', '-', 'JUNE', '14', ':', 'Gene', 'Simmons', 'Paul', 'Stanley', 'KISS', 'performs', 'Donnington', 'Park', 'June', '14', ',', '2015', 'Donnington', ',', 'United', 'Kingdom', '.']",24,"['and', 'of', 'at', 'on', 'in']",5,0.17,
Sentence 25,22,"['(', 'Getty', 'Images', ')', 'CLICK', 'GET', 'FOX', 'NEWS', 'APP', ""''"", 'remember', ',', 'patriotism', 'always', 'cool', '.']",16,"['HERE', 'TO', 'THE', 'You', 'should', 'is']",6,0.27,
Sentence 26,7,"['Loving', 'country', 'always', 'cool', '.']",5,"['your', 'is']",2,0.29,
Sentence 27,12,"['Standing', ',', 'respecting', 'honoring', 'military', 'always', 'cool', '.']",8,"['up', 'and', 'our', 'is']",4,0.33,
Sentence 28,37,"[',', 'show', 'respect', 'pick-throwing', ',', '’', 'going', 'put', 'right', 'hands', 'hearts', '’', 'say', 'Pledge', 'Allegiance', ',', ""''"", 'Stanley', 'added', '.']",20,"['So', 'to', 'some', 'between', 'we', 're', 'to', 'our', 'over', 'our', 'and', 'why', 'don', 't', 'we', 'the', 'of']",17,0.46,
Sentence 29,11,"['Lindsay', 'Kornick', 'associate', 'editor', 'Fox', 'News', 'Digital', '.']",8,"['is', 'an', 'for']",3,0.27,
Sentence 30,16,"['Story', 'tips', 'sent', 'lindsay.kornick', '@', 'fox.com', 'Twitter', ':', '@', 'lmkornick', '.']",11,"['can', 'be', 'to', 'and', 'on']",5,0.31,
Sentence 31,30,"['Get', 'stories', 'need-to-know', 'powerful', 'name', 'news', 'delivered', 'first', 'thing', 'every', 'morning', 'inbox', 'Subscribed', ""'ve"", 'successfully', 'subscribed', 'newsletter', '!']",18,"['all', 'the', 'you', 'from', 'the', 'most', 'in', 'to', 'your', 'You', 'to', 'this']",12,0.4,
Sentence 32,2,"['Factset', '.']",2,[],0,0.0,
Sentence 33,8,"['Powered', 'implemented', 'FactSet', 'Digital', 'Solutions', '.']",6,"['and', 'by']",2,0.25,
Sentence 34,3,"['Legal', 'Statement', '.']",3,[],0,0.0,
Sentence 35,10,"['Mutual', 'Fund', 'ETF', 'data', 'provided', 'Refinitiv', 'Lipper', '.']",8,"['and', 'by']",2,0.2,
