Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 25,24,"['Due', 'healthy', 'fear', 'multinational', 'company', '’', 'legal', 'department', ',', 'Kinnes', 'removed', 'film', 'internet', 'completely', '.']",15,"['to', 'a', 'of', 'a', 's', 'has', 'the', 'from', 'the']",9,0.38,
Sentence 26,43,"['wishes', 'fans', 'able', 'see', 'version', '—', 'featuring', 'professionally', 'polished', 'audio', 'track', '—', 'particularly', 'favorite', 'song', 'set', ',', '“', 'White', 'Ferrari.', '”', 'live', 'version', 'incorporates', 'roaring', 'modular', 'synthesizer', 'melody', 'new', 'lyrics', '.']",31,"['He', 'were', 'to', 'his', 'a', 'for', 'his', 'of', 'the', 'The', 'a', 'and']",12,0.28,
Sentence 27,29,"['song', 'took', 'different', 'meaning', 'context', ',', 'especially', 'between-songs', 'monologue', 'Ocean', 'discussed', 'death', 'brother', 'Ryan', '2020', '.']",16,"['The', 'on', 'a', 'in', 'that', 'after', 'a', 'in', 'which', 'the', 'of', 'his', 'in']",13,0.45,
Sentence 28,54,"['Ocean', 'told', 'New', 'York', 'Times', '50', 'versions', 'song', 'recorded', 'originally', 'asked', 'brother', 'choose', 'one', 'would', 'featured', '“', 'Blonde', ',', '”', 'Ocean', 'eventually', 'changed', 'mind', 'version', '``', ""n't"", 'give', '[', ']', 'peace', 'yet', '.', ""''""]",34,"['the', 'that', 'there', 'were', 'of', 'the', 'and', 'that', 'he', 'his', 'to', 'which', 'be', 'on', 'but', 'his', 'because', 'the', 'did', 'him']",20,0.37,
Sentence 29,62,"['“', 'soon', 'started', 'playing', 'different', 'version', '‘', 'White', 'Ferrari', ',', '’', 'head', ',', 'like', ',', '‘', '’', 'playing', 'Ryan', 'version.', '’', 'version', 'beautiful', 'immaculate', 'different', 'energy', 'song', 'already', 'love', ',', 'really', 'blew', 'away', '.']",34,"['As', 'as', 'he', 'a', 'of', 'in', 'my', 'I', 'was', 'He', 's', 'the', 'The', 'is', 'so', 'and', 'so', 'and', 'has', 'such', 'a', 'to', 'the', 'that', 'I', 'that', 'it', 'me']",28,0.45,
Sentence 30,47,"['connection', 'specific', 'song', 'brother', ',', 'knew', 'intentional', 'thing.', '”', 'Bay', 'Area', '|', 'tiny', 'Bay', 'Area', 'town', 'modern', 'life', 'forgot', ':', 'Canyon', ',', 'CaliforniaLocal', '|', 'Mount', 'Tam', ""'s"", 'haunted', 'fatal', 'plane', 'crash', '.']",32,"['And', 'the', 'that', 'that', 'had', 'with', 'his', 'I', 'it', 'was', 'a', 'very', 'The', 'by', 'a']",15,0.32,
Sentence 31,32,"['found', 'remains.Culture', '|', 'punk', 'show', 'BART', 'turned', 'ride', 'lifetimeFood', '|', 'Annie', ""'s"", 'based', 'Bay', 'Area', ',', 'Annie', '.']",18,"['We', 'its', 'How', 'a', 'on', 'into', 'the', 'of', 'a', 'is', 'in', 'but', 'is', 'not']",14,0.44,
Sentence 32,5,"[""'s"", 'story', '.']",3,"['Here', 'her']",2,0.4,
Sentence 33,12,"['many', 'feelings', 'Frank', 'Ocean', '’', 'Coachella', 'set', '.']",8,"['Had', 'so', 'about', 's']",4,0.33,
Sentence 34,49,"['frustrating', ',', 'moments', 'like', 'version', 'White', 'Ferrari', 'undeniable', 'pic.twitter.com/BYwlncklh7', 'addition', 'shocked', 'AEG', '’', 'legal', 'letter', '(', '’', 'followed', 'since', ')', ',', 'Kinnes', 'found', 'surprised', 'wealth', 'new', 'professional', 'opportunities', '.']",29,"['As', 'as', 'it', 'was', 'this', 'of', 'were', 'In', 'to', 'being', 'by', 's', 'it', 'hasn', 't', 'up', 'himself', 'by', 'a', 'of']",20,0.41,
Sentence 35,16,"['received', 'emails', 'film', 'directors', 'scripts', ',', 'well', 'agents', '.']",9,"['He', 'has', 'from', 'with', 'as', 'as', 'from']",7,0.44,
Sentence 36,22,"['“', 'Hollywood', 'always', 'end', 'goal', ',', 'never', 'way', 'break', 'doors', '.']",11,"['was', 'the', 'but', 'there', 'was', 'a', 'for', 'me', 'to', 'through', 'those']",11,0.5,
Sentence 37,7,"['situation', 'silly', '.']",3,"['The', 'is', 'just', 'so']",4,0.57,
Sentence 38,47,"['matter', '72', 'hours', ',', 'working', 'little', 'music', 'film', 'bedroom', 'thing', 'helped', 'open', 'doors', 'me.', '”', 'far', 'concert', 'goes', ',', 'Kinnes', 'thinks', 'Ocean', '’', 'performance', 'misunderstood', 'moment', '.']",27,"['In', 'a', 'of', 'on', 'this', 'in', 'my', 'is', 'the', 'that', 'those', 'for', 'As', 'as', 'the', 'itself', 's', 'was', 'in', 'the']",20,0.43,
Sentence 39,24,"['“', 'think', 'lot', 'people', 'wanted', 'something', 'performance', 'Frank', '’', 'going', 'give', '.']",12,"['I', 'a', 'of', 'out', 'of', 'the', 'that', 'just', 'wasn', 't', 'to', 'them']",12,0.5,
Sentence 40,12,"['knows', 'would', '’', 'happened', 'ice', 'rink', '?']",7,"['Who', 'what', 've', 'with', 'the']",5,0.42,
Sentence 41,33,"['chance', 'give', 'one', 'iconic', 'headlining', 'sets', 'century', '…', '’', 'something', 'intriguing', 'stripping', '.']",13,"['He', 'had', 'a', 'to', 'of', 'the', 'most', 'of', 'the', 'but', 'there', 's', 'so', 'to', 'me', 'about', 'all', 'of', 'that', 'down']",20,0.61,
Sentence 42,45,"['“', 'plays', 'artist', ',', 'reputation', ',', 'relationship', 'fans', '—', 'way', '’', 'hiding', 'stage', ',', 'version', 'songs', ',', 'comes', 'together', 'beautiful', 'way', '.']",22,"['It', 'on', 'him', 'as', 'an', 'and', 'his', 'and', 'his', 'with', 'his', 'the', 'he', 's', 'on', 'the', 'of', 'the', 'it', 'all', 'in', 'such', 'a']",23,0.51,
Sentence 43,74,"['’', 'discovered', 'watching', 'hours', 'hours', 'footage.', '”', '—', 'Coachella', '2023', 'hit', 'unprecedented', 'fine', 'residents', 'complain', 'curfew', '—', 'Blackpink', 'announces', 'San', 'Francisco', 'show', 'heels', 'Coachella', 'Weekend', '1', 'performance', '—', 'Coachella', 'Valley', 'diner', 'Kylie', 'Jenner', 'Post', 'Malone', 'eat', 'breakfast', '—', 'Inside', 'musical', 'desert', 'oasis', 'might', 'better', 'Coachella', 'Dan', 'Gentile', 'culture', 'editor', 'SFGATE', '.']",51,"['That', 's', 'what', 'I', 'from', 'and', 'of', 'with', 'after', 'about', 'on', 'of', 'The', 'where', 'and', 'the', 'that', 'just', 'be', 'than', 'is', 'the', 'at']",23,0.31,
Sentence 44,24,"['moved', 'San', 'Francisco', 'Austin', ',', 'TX', 'worked', 'vinyl', 'DJ', 'freelance', 'writer', 'covering', 'food', 'music', '.']",15,"['He', 'to', 'from', 'where', 'he', 'as', 'a', 'and', 'and']",9,0.38,
Sentence 45,25,"['writing', 'featured', 'Texas', 'Monthly', ',', 'American', 'Way', ',', 'Rolling', 'Stone', ',', 'Roads', '&', 'Kingdoms', ',', 'VICE', ',', 'Thrillist', '.']",19,"['His', 'has', 'been', 'in', 'and', 'more']",6,0.24,
Sentence 46,6,"['Email', ':', 'Dan.Gentile', '@', 'sfgate.com', '.']",6,[],0,0.0,
