Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 27,18,"['cuddles', ',', 'admits', ',', '``', 'turned', 'horribly', 'wrong', '.', ""''""]",10,"['As', 'she', 'with', 'him', 'she', 'It', 'out', 'so']",8,0.44,
Sentence 28,36,"['Meanwhile', ',', 'Lala', 'Kent', 'convinced', 'time', 'Sandoval', 'cheating', 'Madix', ',', 'asking', ',', '``', 'think', 'first', 'time', ""'s"", 'creeping', 'around', '?', ""''""]",21,"['is', 'not', 'that', 'this', 'is', 'the', 'only', 'had', 'on', 'You', 'this', 'is', 'the', 'he', 'been']",15,0.42,
Sentence 29,24,"['teaser', 'concludes', 'Sandoval', ""'s"", 'ex', 'former', 'cast', 'member', 'Kristen', 'Doute', 'returning', 'VPR', 'teasing', ',', '``', 'ready', '?', ""''""]",18,"['The', 'with', 'and', 'to', 'and', 'You']",6,0.25,
Sentence 30,14,"['PEOPLE', 'confirmed', 'end', 'Sandoval', 'Madix', ""'s"", 'nine-year', 'relationship', 'March', '.']",10,"['the', 'of', 'and', 'in']",4,0.29,
Sentence 31,33,"['time', ',', 'source', 'said', 'pair', '``', 'problems', ""''"", 'months-long', 'affair', 'Leviss', '``', 'final', 'straw', ""''"", 'Madix', '.']",17,"['At', 'the', 'a', 'the', 'had', 'been', 'having', 'for', 'a', 'while', 'but', 'his', 'with', 'was', 'the', 'for']",16,0.48,
Sentence 32,28,"['``', 'put', 'lot', 'years', ',', 'wo', ""n't"", 'sit', 'back', 'disrespected', 'way', ',', ""''"", 'insider', 'added', '.']",16,"['She', 'up', 'with', 'a', 'over', 'the', 'but', 'she', 'and', 'be', 'this', 'the']",12,0.43,
Sentence 33,21,"['Sandoval', 'Leviss', 'issued', 'public', 'apologies', 'Madix', ',', 'posted', 'statement', 'Instagram', 'March', '16', '.']",13,"['Both', 'and', 'to', 'who', 'her', 'own', 'on', 'on']",8,0.38,
Sentence 34,36,"['``', 'want', 'express', 'sincere', 'gratitude', 'outpouring', 'love', 'support', 'received', 'friends', ',', 'family', ',', 'people', ""'ve"", 'never', 'even', 'met', ',', ""''"", 'wrote', '.']",22,"['i', 'to', 'my', 'most', 'for', 'the', 'of', 'and', 'i', 'have', 'from', 'and', 'i', 'she']",14,0.39,
Sentence 35,29,"['``', 'felt', 'like', 'could', ""n't"", 'even', 'stand', ',', 'given', 'strength', 'continue', 'seen', 'darkest', 'hours', '.']",15,"['when', 'i', 'have', 'i', 'you', 'all', 'have', 'me', 'the', 'to', 'and', 'me', 'through', 'my']",14,0.48,
Sentence 36,13,"['say', 'devastated', 'broken', 'understatement', '.', ""''""]",6,"['to', 'i', 'have', 'been', 'and', 'is', 'an']",7,0.54,
Sentence 37,32,"['Noting', 'still', '``', 'reeling', 'betrayal', 'many', 'levels', ',', ""''"", 'added', 'implied', 'warning', ':', '``', ""n't"", 'kill', 'better', 'run', '.', ""''""]",20,"['that', 'she', 'was', 'from', 'this', 'on', 'so', 'she', 'an', 'what', 'does', 'me']",12,0.38,
Sentence 38,36,"['Never', 'miss', 'story', '—', 'sign', 'PEOPLE', ""'s"", 'free', 'daily', 'newsletter', 'stay', 'up-to-date', 'best', 'PEOPLE', 'offer', ',', 'juicy', 'celebrity', 'news', 'compelling', 'human', 'interest', 'stories', '.']",24,"['a', 'up', 'for', 'to', 'on', 'the', 'of', 'what', 'has', 'to', 'from', 'to']",12,0.33,
Sentence 39,8,"['Vanderpump', 'Rules', 'airs', 'Wednesdays', '9', 'p.m', '.']",7,['at'],1,0.12,
Sentence 40,4,"['ET', 'Bravo', '.']",3,['on'],1,0.25,
Sentence 41,27,"['visit', 'site', ',', 'Dotdash', 'Meredith', 'partners', 'may', 'store', 'retrieve', 'information', 'browser', ',', 'mostly', 'form', 'cookies', '.']",16,"['When', 'you', 'the', 'and', 'its', 'or', 'on', 'your', 'in', 'the', 'of']",11,0.41,
Sentence 42,43,"['Cookies', 'collect', 'information', 'preferences', 'devices', 'used', 'make', 'site', 'work', 'expect', ',', 'understand', 'interact', 'site', ',', 'show', 'advertisements', 'targeted', 'interests', '.']",20,"['about', 'your', 'and', 'your', 'and', 'are', 'to', 'the', 'as', 'you', 'it', 'to', 'to', 'how', 'you', 'with', 'the', 'and', 'to', 'that', 'are', 'to', 'your']",23,0.53,
Sentence 43,43,"['find', 'use', ',', 'change', 'default', 'settings', ',', 'withdraw', 'consent', 'time', 'effect', 'future', 'visiting', 'Cookies', 'Settings', ',', 'also', 'found', 'footer', 'site', '.']",21,"['You', 'can', 'out', 'more', 'about', 'our', 'your', 'and', 'your', 'at', 'any', 'with', 'for', 'the', 'by', 'which', 'can', 'be', 'in', 'the', 'of', 'the']",22,0.51,
