Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,36,"['Gordon', 'Lightfoot', 'Left', 'Lasting', 'Legacy', 'Great', 'Lakes', 'Shipwreck', 'Culture', '–', '9', '&', '10', 'News', 'Lightfoot', 'Left', 'Lasting', 'Legacy', 'Great', 'Lakes', 'Shipwreck', 'Culture', 'Canadian', 'singer/songwriter', 'Gordon', 'Lightfoot', 'died', 'Monday', 'age', '84', '.']",31,"['on', 'on', 'at', 'the', 'of']",5,0.14,
Sentence 2,60,"['Lightfoot', 'handful', 'hits', '‘', '70s', 'early', '‘', '80s', ',', 'maybe', 'none', 'everlasting', 'region', '1976′s', '“', 'Wreck', 'Edmund', 'Fitzgerald.', '”', '“', 'Gordon', 'Lightfoot', 'shipwreck', 'world', 'quite', 'amazing', ',', '”', 'said', 'Corey', 'Adkins', ',', 'Great', 'Lake', 'Shipwreck', 'Museum', '.']",37,"['had', 'a', 'of', 'through', 'the', 'and', 'but', 'has', 'been', 'as', 'in', 'this', 'as', 'The', 'of', 'the', 'What', 'did', 'to', 'the', 'was', 'of', 'the']",23,0.38,
Sentence 3,65,"['“', '’', 'even', 'think', 'knew', 'time.', '”', 'nearly', 'seven-minute', 'song', 'told', 'story', 'largest', 'ship', 'ever', 'sink', 'Great', 'Lakes', 'According', 'Great', 'Lakes', 'Shipwreck', 'Museum', ',', 'song', 'brought', 'attention', 'awareness', 'shipwrecks', 'along', 'Great', 'Lakes', 'opened', 'people', 'tell', 'stories', '.']",37,"['And', 'I', 'don', 't', 'he', 'that', 'he', 'was', 'doing', 'that', 'at', 'the', 'The', 'the', 'of', 'the', 'to', 'on', 'the', 'to', 'the', 'the', 'and', 'to', 'the', 'and', 'to', 'more']",28,0.43,
Sentence 4,21,"['flashiest', 'song', 'Lightfoot', 'considered', '‘', 'Wreck', 'Edmund', 'Fitzgerald', '’', 'finest', 'work', '.']",12,"['Not', 'the', 'but', 'The', 'of', 'the', 'to', 'be', 'his']",9,0.43,
Sentence 5,32,"['“', 'lack', 'better', 'term', ',', '’', '‘', 'sex', 'drugs', ',', 'rock', '‘', 'n', '’', 'roll', ',', '’', '’', 'story', 'loss', '.']",21,"['For', 'of', 'a', 'it', 's', 'not', 'and', 'it', 's', 'a', 'of']",11,0.34,
Sentence 6,18,"['’', 'story', 'men', 'went', 'night', ',', '”', 'said', 'Adkins', '.']",10,"['I', 's', 'a', 'of', 'what', 'those', 'through', 'that']",8,0.44,
Sentence 7,25,"['“', '’', 'really', 'know', 'happened', 'night', ',', 'articles', 'knowledge', 'gathered', '.']",11,"['He', 'didn', 't', 'what', 'that', 'but', 'this', 'was', 'all', 'from', 'the', 'and', 'that', 'he']",14,0.56,
Sentence 8,14,"['wrote', 'song', '’', 'sure', 'feeling', '.']",6,"['He', 'that', 'and', 'I', 'm', 'he', 'was', 'it']",8,0.57,
Sentence 9,43,"['song', 'little', 'simple', ',', 'beautiful', 'story.', '”', 'Lightfoot', 'honorary', 'board', 'member', 'museum', 'song', 'plays', 'loop', 'museum', 'guests', 'see', 'bell', 'freighter', '.']",21,"['The', 'is', 'a', 'but', 'it', 'is', 'a', 'was', 'an', 'for', 'the', 'and', 'his', 'on', 'a', 'at', 'the', 'where', 'can', 'the', 'from', 'the']",22,0.51,
