Date,Total adjectives 1,Total proper names 1,Total words 1,Total adjectives 2,Total proper names 2,Total words 2,Total adjectives 3,Total proper names 3,Total words 3,Total adjectives 4,Total proper names 4,Total words 4,Total adjectives 5,Total proper names 5,Total words 5,Total adjectives 6,Total proper names 6,Total words 6,Total adjectives 7,Total proper names 7,Total words 7,Total adjectives 8,Total proper names 8,Total words 8,Total adjectives 9,Total proper names 9,Total words 9,Total adjectives 10,Total proper names 10,Total words 10
2052023,49,121,441,41,161,465,81,70,555,110,168,896,99,157,815,47,103,485,28,78,260,81,133,667,184,229,1344,70,172,686
3052023,53,124,625,21,141,449,23,55,238,87,162,769,19,53,218,54,83,324,137,154,1024,42,83,384,33,128,421,158,133,1537
4052023,97,278,1017,1,23,49,67,45,514,59,196,759,32,100,465,31,64,303,32,51,293,51,384,824,18,48,239,98,221,834
