Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 11,313,"['(', 'May', '10', ')', 'Queen', 'Cleopatra', '(', 'May', '10', ')', 'Royalteen', ':', 'Princess', 'Margrethe', '(', 'May', '11', ')', 'Ultraman', 'Season', '3', '(', 'May', '11', ')', 'Black', 'Knight', 'Series', 'Premiere', '(', 'May', '12', ')', 'Mother', '(', 'May', '12', ')', 'Mulligan', 'Series', 'Premiere', '(', 'May', '12', ')', 'Queer', 'Eye', 'Season', '7', '(', 'May', '12', ')', 'Anna', 'Nicole', 'Smith', ':', '’', 'Know', '(', 'May', '16', ')', 'Faithfully', '(', 'May', '17', ')', 'Fanfic', '(', 'May', '17', ')', 'McGregor', 'Forever', '(', 'May', '17', ')', 'Rhythm', '+', 'Flow', 'France', 'Season', '2', '(', 'May', '17', ')', 'Working', ':', 'Day', '(', 'May', '17', ')', 'Kitti', 'Katz', '(', 'May', '18', ')', 'XO', ',', 'Kitty', 'Series', 'Premiere', '(', 'May', '18', ')', 'Yakitori', ':', 'Soldiers', 'Misfortune', 'Series', 'Premiere', '(', 'May', '18', ')', 'Astérix', '&', 'Obélix', ':', 'Middle', 'Kingdom', '(', 'May', '19', ')', 'Kathal', '—', 'Jackfruit', 'Mystery', '(', 'May', '19', ')', 'Muted', 'Series', 'Premiere', '(', 'May', '19', ')', 'Selling', 'Sunset', 'Season', '6', '(', 'May', '19', ')', 'Young', ',', 'Famous', '&', 'African', 'Season', '2', '(', 'May', '19', ')', 'Creature', 'Cases', 'Chapter', '3', '(', 'May', '22', ')', 'MerPeople', '(', 'May', '23', ')', 'Victim/Suspect', '(', 'May', '23', ')', 'Wanda', 'Sykes', ':', '’', 'Entertainer', '(', 'May', '23', ')', 'Hard', 'Feelings', '(', 'May', '24', ')', 'Mother', '’', 'Day', '(', 'May', '24', ')', 'Ultimatum', ':', 'Queer', 'Love', 'Series', 'Premiere', '(', 'May', '24', ')', 'FUBAR', 'Series', 'Premiere', '(', 'May', '25', ')', 'Barbecue', 'Showdown', 'Season', '2', '(', 'May', '26', ')', 'Blood', '&', 'Gold', '(', 'May', '26', ')', 'Tin', '&', 'Tina', '(', 'May', '26', ')', 'Turn', 'Tide', 'Series', 'Premiere', '(', 'May', '26', ')', 'Think', 'Leave', 'Tim', 'Robinson', 'Season', '3', '(', 'May', '30', ')', 'Mixed', 'Erry', '(', 'May', '31', ')', 'best', 'movies', ',', 'TV', ',', 'books', ',', 'music', ',', ',', 'delivered', 'inbox', '.']",281,"['The', 'You', 'Don', 't', 'Me', 'Yours', 'What', 'We', 'Do', 'All', 'of', 'The', 'A', 'The', 'I', 'm', 'An', 's', 'The', 'of', 'the', 'I', 'You', 'Should', 'With', 'by', 'The', 'of', 'and', 'more', 'to', 'your']",32,0.1,
Sentence 12,5,"['Thanks', 'signing', '!']",3,"['for', 'up']",2,0.4,
Sentence 13,10,"['manage', 'newsletter', 'subscriptions', 'time', '.']",5,"['You', 'can', 'your', 'at', 'any']",5,0.5,
Sentence 14,72,"['SpecialsHannah', 'Gadsby', ':', 'Something', 'Special', '(', 'May', '9', ')', 'Must', 'WatchParasiteSome', 'Like', 'HotLord', 'Rings', ':', 'Fellowship', 'Ring', '(', 'May', '19', ')', 'Good', 'WatchAmerican', 'HoneyAs', 'Tears', 'Go', 'ByBlue', 'ValentineCalvaryCoffee', 'CigarettesHustle', '&', 'FlowMen', 'BlackPaper', 'MoonThe', 'Rookie', '(', '2002', ')', 'Step', 'BrothersThe', 'Conjuring', '(', 'May', '8', ')', 'Unbreakable', '(', 'May', '15', ')', 'Binge', 'WatchRick', 'Morty', 'Season', '6', '(', 'May', '11', ')', 'Family', 'WatchDaddy', 'Day', 'CareDr', '.']",63,"['It', 'of', 'the', 'The', 'of', 'the', 'and', 'in', 'and']",9,0.12,
Sentence 15,362,"['Seuss', '’', 'Horton', 'Hears', '!', 'Batwheels', 'Season', '1E', '(', 'May', '2', ')', 'Legion', 'Super-Heroes', '(', 'May', '8', ')', 'LEGO', 'Batman', 'Movie', '(', 'May', '19', ')', '’', 'BoredAbsolute', 'PowerAlpha', 'DogBetrayedBlack', 'MassDreamer', ':', 'Inspired', 'True', 'StoryEat', 'Pray', 'LoveThe', 'Forbidden', 'KingdomHeartbreakersThe', 'Hole', 'GroundI', 'Pronounce', 'Chuck', 'LarryThe', 'Karate', 'Kid', '(', '2010', ')', 'Kingsman', ':', 'Secret', 'ServiceThe', 'Last', 'CastleLord', 'IllusionsLucky', 'YouMan', 'House', '(', '2005', ')', 'Men', 'Black', '2Men', 'Black', '3Mid90sMidnight', 'SunMirror', 'MirrorMirrorsMy', 'Big', 'Fat', 'Greek', 'Wedding', '2ParanoiaShark', 'Night', '3DSky', 'Captain', 'World', 'TomorrowSoapdishSorority', 'RowWindtalkersRun', 'Night', '(', 'May', '2', ')', 'Fifty', 'Shades', 'Grey', '(', 'May', '3', ')', 'Unicorn', ':', 'Warriors', 'Eternal', 'Season', '1', '(', 'May', '5', ')', 'Baby', 'Bears', ':', 'Little', 'Falling', 'Star', 'Season', '1G', '(', 'May', '14', ')', 'Land', 'Gold', '(', 'May', '15', ')', 'San', 'Andreas', '(', 'May', '22', ')', 'HBO', 'Original', 'ProgrammingWhite', 'House', 'Plumbers', 'Series', 'Premiere1000', '%', ':', 'Growing', 'Mixed', '(', 'May', '2', ')', 'Two', 'Season', '3', '(', 'May', '4', ')', 'Two', 'Sides', 'Abyss', 'Series', 'Premiere', '(', 'May', '8', ')', 'Angel', 'City', 'Series', 'Premiere', '(', 'May', '16', ')', 'Spy/Master', 'Series', 'Premiere', '(', 'May', '19', ')', 'Love', 'Love', '(', 'May', '20', ')', 'Must', 'WatchHarold', '&', 'Kumar', 'Go', 'White', 'CastleThelma', '&', 'Louise', '(', '1991', ')', 'Good', 'WatchAmistadA', 'Beautiful', 'MindBill', '&', 'Ted', '’', 'Excellent', 'AdventureThe', 'Black', 'StallionBound', '(', '1996', ')', 'Dallas', 'Buyers', 'ClubDarkest', 'Hour', '(', '2017', ')', 'Europa', 'ReportFatal', 'AttractionForgetting', 'Sarah', 'MarshallHard', 'Eight', 'NegroInvasion', 'Body', 'Snatchers', '(', '1956', ')', 'Kung', 'Fu', 'HustleMoonrise', 'KingdomPatriot', 'GamesThe', 'Quiet', 'ManRumble', 'BronxSaving', 'FaceThe', 'ShootistShutter', 'IslandThree', 'Days', 'CondorTrue', 'Grit', '(', '2010', ')', 'Till', '(', 'May', '9', ')', 'Said', '(', 'May', '19', ')', 'Top', 'Five', '(', 'May', '28', ')', 'Binge', 'WatchFreaks', '&', 'Geeks', '(', 'May', '4', ')', 'Sabrina', ':', 'Teenage', 'Witch', 'Complete', 'Series', '(', '1996', ')', '(', 'May', '4', ')', 'Family', 'WatchThe', 'Adventures', 'Tintin', 'BabeBabe', ':', 'Pig', 'CityMadagascarMadagascar', '3', ':', 'Europe', '’', 'Wanted', 'Nostalgia', 'WatchConeheadsSpace', 'Jam', '(', '1996', ')', 'WizBeverly', 'Hills', '90210', 'Complete', 'Series', '(', 'May', '4', ')', 'Meryl', 'WatchMamma', 'Mia', '!']",307,"['A', 'Who', 'of', 'The', 'If', 'You', 're', 'by', 'a', 'In', 'the', 'Now', 'You', 'and', 'The', 'of', 'of', 'the', 'in', 'in', 'and', 'the', 'of', 'All', 'of', 'We', 'of', 'Me', 'Up', 'The', 'Other', 'of', 'the', 'to', 'You', 'to', 's', 'I', 'Am', 'Not', 'Your', 'of', 'the', 'in', 'the', 'of', 'the', 'She', 'The', 'of', 'in', 'the', 's', 'Most', 'The']",55,0.15,
Sentence 16,65,"['’', 'BoredBabelBeavis', 'Butt-Head', 'America', 'Blue', 'CrushBlue', 'Crush', '2Bridget', 'Jones', '’', 'BabyBridget', 'Jones', ':', 'Edge', 'ReasonCarrie', '(', '2002', ')', 'Daniel', 'Tiger', '’', 'Neighborhood', ':', 'Special', ',', 'Daniel', 'Tiger', '!', 'Daniel', 'Visits', 'New', 'NeighborhoodDinner', 'SchmucksThe', 'DoorsDrillbit', 'TaylorFailure', 'LaunchFletchFletch', 'LivesThe', 'Front', 'Page', '(', '1974', ')', 'Get', 'GreekGhost', 'TownGunfight', 'O.K', '.']",47,"['If', 'You', 're', 'and', 'Do', 'The', 'of', 's', 'You', 'Are', 'a', 'for', 'to', 'Him', 'to', 'the', 'at', 'the']",18,0.28,
Sentence 17,115,"['CorralHamburger', 'Hill', 'Heartbreak', 'Kid', '(', '2007', ')', 'Howard', 'DuckIdentity', 'ThiefLeap', 'YearMasterChef', 'Mexico', 'Seasons', '1–4Meet', 'Joe', 'BlackMemoirs', 'GeishaThe', 'Nutty', 'Professor', '(', '1996', ')', 'Nutty', 'Professor', '2', ':', 'KlumpsReminiscence', 'Rise', ':', 'Blood', 'HunterThe', 'RundownSafe', 'HouseThe', 'TerminalThey', 'Might', 'GiantsVirtuosity', 'Soldiers90210', 'Complete', 'Series', '(', 'May', '4', ')', 'Dynasty', '(', '1981', ')', '(', 'May', '4', ')', 'Medium', 'Complete', 'Series', '(', 'May', '4', ')', 'Reign', 'Complete', 'Series', '(', 'May', '4', ')', 'Tudors', 'Complete', 'Series', '(', 'May', '4', ')', 'La', 'Vida', 'Despues', 'del', 'Reality', '(', 'May', '10', ')', 'Three', 'Thousand', 'Years', 'Longing', '(', 'May', '23', ')', 'Violent', 'Night', '(', 'May', '26', ')', 'Hot', 'Pursuit', '(', 'May', '29', ')', 'Amazon', 'Originals¡Hasta', 'la', 'Madre', '!']",106,"['The', 'the', 'of', 'a', 'The', 'Be', 'We', 'Were', 'of']",9,0.08,
Sentence 18,38,"['Del', 'Día', 'de', 'las', 'Madres', '(', 'May', '5', ')', 'Ferragnez', ':', 'Series', 'Season', '2', '(', 'May', '18', ')', 'Hohlbeins', '’', 'Gryphon', 'Series', 'Premiere', '(', 'May', '26', ')', 'SpecialsJimmy', 'O.', 'Yang', ':', 'Guess', 'Much', '?']",34,"['The', 'The', 'The', 'How']",4,0.11,
Sentence 19,574,"['(', 'May', '2', ')', 'Tommy', 'Little', ':', 'Pretty', 'Fly', 'Dickhead', '(', 'May', '5', ')', 'Academy', 'Country', 'Music', 'Awards', '(', 'May', '11', ')', 'Zarna', 'Garg', ':', 'One', 'Billion', 'Comedy', 'Special', '(', 'May', '16', ')', 'Good', 'WatchAtonementBeetlejuiceBest', 'ShowBlack', 'DynamiteBoogie', 'NightsBottle', 'RocketCrazy', 'Stupid', 'LoveCyrusFrankIt', '(', '2017', ')', 'Joy', 'Luck', 'ClubThe', 'Mask', '(', '1994', ')', 'OnceOnce', 'Upon', 'Time', 'AmericaPremium', 'RushSelenaSpeedStan', '&', 'OllieLucky', '(', 'May', '2', ')', 'Sides', 'Blade', '(', 'May', '4', ')', 'Saint', 'Omer', '(', 'May', '12', ')', 'District', 'B13', '(', 'May', '15', ')', 'Popstar', ':', 'Never', 'Stop', 'Never', 'Stopping', '(', 'May', '16', ')', 'Slash/Back', '(', 'May', '18', ')', 'Sophie', '’', 'Choice', '(', 'May', '19', ')', 'Broker', '(', 'May', '24', ')', 'Square', '(', 'May', '31', ')', 'Binge', 'WatchNaruto', 'Shippuden', 'Seasons', '7–8', 'Family', 'WatchPokemon', 'Detective', 'PikachuBoonie', 'Bears', ':', 'Back', 'Earth', '(', 'May', '12', ')', 'Last', 'Unicorn', '(', 'May', '12', ')', 'Nostalgia', 'WatchTwilightA', 'Walk', 'Remember', '(', 'May', '4', ')', 'Tribute', 'WatchThe', 'Hunger', 'GamesThe', 'Hunger', 'Games', ':', 'Catching', 'FireThe', 'Hunger', 'Games', ':', 'Mockingjay', 'Part', '1The', 'Hunger', 'Games', ':', 'Mockingjay', 'Part', '2', '’', 'BoredAfter', 'EarthAnnabelleBillionaire', 'Boys', 'ClubBless', ',', 'UltimaBlue', 'ThunderBobby', 'Jones', ':', 'Stroke', 'GeniusBook', 'EliClash', 'TitansThe', 'ComedianDarkest', 'Hour', '(', '2011', ')', 'Eat', 'Pray', 'LoveEl', 'CondoritoThe', 'First', 'Monday', 'MayThe', 'Haunting', 'ConnecticutHorrible', 'BossesIdentityJohnny', 'MnemonicJoshua', '(', '2007', ')', 'Last', 'Action', 'HeroThe', 'Last', 'ExorcismLittle', 'ManThe', 'Little', 'ThingsThe', 'MeddlerMeet', 'SpartansOut', 'FurnacePatriots', 'DayThe', 'Power', 'OneRampage', '(', '2018', ')', 'Sex', 'DriveSpeed', '2', ':', 'Cruise', 'ControlStuck', 'YouTaken', '21000-lb', 'Sisters', 'Season', '1', '(', 'May', '4', ')', 'Apollo', '18', '(', 'May', '4', ')', 'Beach', 'Hunters', 'Seasons', '1–3', '(', 'May', '4', ')', 'Build', 'Bigger', 'Seasons', '2–4', '(', 'May', '4', ')', 'Cake', 'Wars', 'Seasons', '3–4', '9', '(', 'May', '4', ')', 'Case', 'Haunts', 'Season', '1', '(', 'May', '4', ')', 'Casey', 'Anthony', ':', 'American', 'Murder', 'Mystery', 'Season', '1', '(', 'May', '4', ')', 'Children', 'Snow', 'Season', '1', '(', 'May', '4', ')', 'Curb', 'Appeal', 'Seasons', '20–21', '(', 'May', '4', ')', 'Curb', 'Appeal', ':', 'Block', 'Seasons', '1–2', '(', 'May', '4', ')', 'Cutthroat', 'Kitchen', 'Season', '7', '(', 'May', '4', ')', 'Dr.', 'Pimple', 'Popper', 'Seasons', '1–3', '(', 'May', '4', ')', 'Evil', 'Talks', ':', 'Chilling', 'Confessions', 'Season', '1', '(', 'May', '4', ')', 'Flea', 'Market', 'Flip', 'Seasons', '6–9', '(', 'May', '4', ')', 'Golden', 'State', 'Killer', ':', '’', 'Season', '1', '(', 'May', '4', ')', 'Island', 'Life', 'Seasons', '1–4', '(', 'May', '4', ')', 'Jodi', 'Arias', ':', 'American', 'Murder', 'Mystery', 'Season', '1', '(', 'May', '4', ')', 'Libertine', '(', 'May', '4', ')', 'Man', 'vs.', 'Wild', 'Seasons', '1–3', '(', 'May', '4', ')', 'Murder', 'Comes', 'Home', 'Season', '1', '(', 'May', '4', ')', 'Murder', 'Paradise', 'Season', '1', '(', 'May', '4', ')', 'Naked', 'Afraid', 'Season', '3', '(', 'May', '4', ')', 'Pamela', 'Smart', ':', 'American', 'Murder', 'Mystery', 'Season', '1', '(', 'May', '4', ')', 'Say', 'Yes', 'Dress', ':', 'Atlanta', 'Seasons', '1–4', '(', 'May', '4', ')', 'Susan', 'Powell', ':', 'ID', 'Murder', 'Mystery', 'Season', '1', '(', 'May', '4', ')', 'Unexpected', 'Seasons', '1–3', '(', 'May', '4', ')', 'Killed', 'Jeffrey', 'Epstein', 'Season', '1', '(', 'May', '4', ')', 'Alone', 'Night', '(', 'May', '5', ')', 'Bloods', '(', 'May', '5', ')', 'Elton', 'John', 'Live', ':', 'Farewell', 'Dodger', 'Stadium', '(', 'May', '5', ')', 'Manifest', 'West', '(', 'May', '5', ')', 'Beyblade', 'Quadstrike', 'Season', '7A', '(', 'May', '8', ')', 'End', '(', 'May', '8', ')', 'Last', 'Warrior', '(', 'May', '9', ')', 'Bar', 'Fight', '!']",514,"['for', 'a', 'of', 'in', 'a', 'in', 'The', 'a', 'in', 'Both', 'of', 'the', 's', 'The', 'to', 'The', 'to', 'If', 'You', 're', 'Me', 'of', 'of', 'of', 'the', 'in', 'in', 'the', 'of', 'the', 'of', 'On', 'It', 'and', 'The', 'That', 'Me', 'An', 'of', 'the', 'The', 'The', 'It', 's', 'Not', 'Over', 'An', 'The', 'in', 'and', 'An', 'to', 'the', 'An', 'Who', 'at', 'From', 'To', 'The', 'The']",60,0.1,
Sentence 20,199,"['(', 'May', '11', ')', 'Locksmith', '(', 'May', '13', ')', 'Dangie', 'Bros', 'Ultimate', 'Mishmash', 'Season', '1', '(', 'May', '15', ')', 'Hammer', 'Gods', '(', 'May', '15', ')', 'Point', 'Break', '(', '2015', ')', '(', 'May', '15', ')', 'Break-Up', '(', 'May', '16', ')', 'La', 'Chica', 'Invisible', 'Season', '1', '(', 'May', '16', ')', 'Texas', 'True', 'Crime', 'Season', '2', '(', 'May', '18', ')', 'American', 'Murderer', '(', 'May', '19', ')', 'Sliding', 'Doors', '(', 'May', '19', ')', 'Paris', 'Wait', '(', 'May', '23', ')', 'Still', 'Believe', '(', 'May', '25', ')', 'Mummies', '(', 'May', '26', ')', 'Old', 'Way', '(', 'May', '26', ')', 'PremieresA', 'Small', 'Light', 'Series', 'Premiere', '(', 'May', '2', ')', 'Jeopardy', 'Masters', 'Series', 'Premiere', '(', 'May', '9', ')', 'FX', '’', 'Class', '’', '09', 'Series', 'Premiere', '(', 'May', '10', ')', 'Judge', 'Steve', 'Harvey', 'Season', '2', '(', 'May', '10', ')', 'Secrets', 'Hillsong', 'Series', 'Premiere', '(', 'May', '20', ')', 'Crime', 'Scene', 'Kitchen', 'Season', '2', '(', 'May', '23', ')', 'Beat', 'Shazam', 'Season', '6', '(', 'May', '24', ')', '’', 'Forget', 'Lyrics', 'Season', '2', '(', 'May', '24', ')', 'Gordon', 'Ramsay', '’', 'Food', 'Stars', 'Series', 'Premiere', '(', 'May', '25', ')', 'MasterChef', 'Season', '13', '(', 'May', '25', ')', 'Mayans', 'M.C', '.']",184,"['The', 'of', 'the', 'The', 'Can', 'I', 'The', 's', 'of', 'The', 'of', 'Don', 't', 'the', 's']",15,0.08,
Sentence 21,125,"['Final', 'Season', '(', 'May', '25', ')', 'Prank', 'Panel', 'Series', 'Premiere', '(', 'May', '25', ')', 'Hulu', 'Original', 'Programming', 'Taste', 'Nation', 'Padma', 'Lakshmi', 'Season', '2', '(', 'May', '5', ')', 'Great', 'Season', '3', '(', 'May', '12', ')', 'Queenmaker', ':', 'Making', 'Girl', '(', 'May', '17', ')', 'White', 'Men', '’', 'Jump', '(', 'May', '19', ')', 'Met', 'Father', 'Season', '2B', '(', 'May', '23', ')', 'Clearing', 'Series', 'Premiere', '(', 'May', '24', ')', 'Kardashians', 'Season', '3', '(', 'May', '25', ')', 'Specials', 'Bono', '&', 'Edge', ':', 'Sort', 'Homecoming', 'David', 'Letterman', '(', 'May', '11', ')', 'Jelly', 'Roll', ':', 'Save', '(', 'May', '30', ')', 'Slate', 'published', 'Slate', 'Group', ',', 'Graham', 'Holdings', 'Company', '.']",102,"['the', 'With', 'The', 'The', 'of', 'an', 'It', 'Can', 't', 'How', 'I', 'Your', 'The', 'The', 'The', 'A', 'of', 'with', 'Me', 'is', 'by', 'The', 'a']",23,0.18,
