Average news document stance
,U1,U2,U3,U4,U5,U6,U7,U8,home
rep score,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
dem score,0.18,0.09,0.27,0.09,0.0,0.0,0.0,0.0,0.36
neu score,0.0,0.0,0.29,0.43,0.0,0.0,0.0,0.0,0.29

Entropy user scores
,U1,U2,U3,U4,U5,U6,U7,U8,home
rep score,0.37,0.27,0.3,0,0,0,0,0,0
dem score,0.27,0.37,0.35,0.35,0.35,0.35,0.35,0.35,0.27
neu score,0,0,0.37,0.22,0.22,0.22,0.22,0.22,0.37
