Date,LDA Number of topics 1,LDA Number of topics 2,LDA Number of topics 3,LDA Number of topics 4,LDA Number of topics 5,LDA Number of topics 6,LDA Number of topics 7,LDA Number of topics 8,LDA Number of topics 9,LDA Number of topics 10
2052023,4,1,3,4,1,4,5,1,6,6.0
3052023,7,2,1,7,7,3,1,3,6,5.0
4052023,7,1,3,6,7,5,1,2,1,
