Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 22,44,"['Biden', 'Sunday', 'said', 'believed', ',', 'enough', 'time', 'strategy', 'pay', 'June', '1', ',', 'Treasury', 'Department', 'warned', 'government', 'may', 'able', 'pay', 'bills', '.']",21,"['on', 'he', 'he', 'did', 'but', 'there', 'was', 'not', 'for', 'that', 'to', 'off', 'before', 'when', 'the', 'has', 'that', 'the', 'not', 'be', 'to', 'all', 'its']",23,0.52,
Sentence 23,11,"['Treasury', 'Secretary', 'Janet', 'Yellen', 'sounded', 'similar', 'note', 'Sunday', '.']",9,"['a', 'on']",2,0.18,
Sentence 24,28,"['Administration', 'officials', 'economists', 'said', 'default', 'triggered', 'debt-ceiling', 'breach', 'would', 'roil', 'world', 'financial', 'system', 'plunge', 'United', 'States', 'recession', '.']",18,"['and', 'have', 'that', 'a', 'by', 'a', 'the', 'and', 'the', 'into']",10,0.36,
Sentence 25,13,"['immediate', 'catastrophe', 'might', 'avoided', 'Biden', 'invoked', '14th', 'Amendment', '.']",9,"['That', 'be', 'if', 'the']",4,0.31,
Sentence 26,26,"['investors', 'nevertheless', 'could', 'spooked', 'drama', 'demand', 'higher', 'interest', 'rates', 'reflect', 'increased', 'risk', 'legal', 'issues', 'played', '.']",16,"['But', 'be', 'by', 'the', 'and', 'to', 'the', 'while', 'the', 'out']",10,0.38,
Sentence 27,9,"['Standards', ':', 'Thomson', 'Reuters', 'Trust', 'Principles', '.']",7,"['Our', 'The']",2,0.22,
Sentence 28,10,"['Thomson', 'Reuters', 'Andy', 'covers', 'politics', 'policy', 'Washington', '.']",8,"['and', 'in']",2,0.2,
Sentence 29,22,"['work', 'cited', 'Supreme', 'Court', 'briefs', ',', 'political', 'attack', 'ads', 'least', 'one', 'Saturday', 'Night', 'Live', 'skit', '.']",16,"['His', 'has', 'been', 'in', 'and', 'at']",6,0.27,
Sentence 30,25,"['Thomson', 'Reuters', 'Jacqueline', 'Thomsen', ',', 'based', 'Washington', ',', 'D.C.', ',', 'covers', 'legal', 'news', 'related', 'policy', ',', 'courts', 'legal', 'profession', '.']",20,"['in', 'to', 'the', 'and', 'the']",5,0.2,
Sentence 31,15,"['Follow', 'Twitter', '@', 'jacq_thomsen', 'email', 'jacqueline.thomsen', '@', 'thomsonreuters.com', '.']",9,"['her', 'on', 'at', 'and', 'her', 'at']",6,0.4,
Sentence 32,43,"['UK', ""'s"", 'main', 'stock', 'indexes', 'fell', 'one-month', 'low', 'Wednesday', ',', 'closely', 'watched', 'measure', 'core', 'prices', 'surged', '31-year', 'high', 'April', ',', 'cementing', 'bets', 'interest', 'rate', 'hikes', 'Bank', 'England', '.']",28,"['to', 'an', 'over', 'on', 'as', 'a', 'of', 'to', 'a', 'in', 'of', 'further', 'by', 'the', 'of']",15,0.35,
