Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 24,30,"['Mr.', '’', 'Brien', 'resort', 'time-killing', 'gimmicks', ',', 'spinning', 'wedding', 'ring', 'desk', ',', 'setting', 'timer', 'process', '.']",16,"['O', 'had', 'to', 'to', 'such', 'as', 'his', 'on', 'his', 'a', 'to', 'it', 'in', 'the']",14,0.47,
Sentence 25,15,"['Jay', 'Leno', ',', 'host', '“', 'Tonight', 'Show', ',', '”', 'infuriated', 'W.G.A', '.']",12,"['the', 'of', 'The']",3,0.2,
Sentence 26,8,"['officials', 'writing', 'monologue', 'jokes', '.']",5,"['by', 'his', 'own']",3,0.38,
Sentence 27,29,"['“', 'Jew', ',', 'Christian', 'Muslim', 'walk', 'bar', ',', '”', 'Mr.', 'Leno', 'said', 'opening', 'monologue', ',', 'stretched', 'nearly', '10', 'minutes', '.']",20,"['A', 'a', 'and', 'a', 'into', 'a', 'during', 'his', 'which']",9,0.31,
Sentence 28,74,"['“', 'Jew', 'says', 'Muslim', ',', 'see', ',', 'idea', 'say', ',', '’', 'writers', '’', 'strike.', '”', 'Late-night', 'hosts', 'top', 'producers', 'group', 'calls', 'recent', 'weeks', ',', 'coordinating', 'response', 'event', 'strike', ',', 'according', 'person', 'briefed', 'plans', 'spoke', 'condition', 'anonymity', 'sensitivity', 'situation', '.']",39,"['The', 'to', 'the', 'I', 'have', 'no', 'what', 'they', 'because', 'there', 's', 'a', 'and', 'their', 'have', 'been', 'on', 'in', 'a', 'in', 'the', 'of', 'a', 'to', 'a', 'on', 'the', 'who', 'on', 'of', 'because', 'of', 'the', 'of', 'the']",35,0.47,
Sentence 29,33,"['Unlike', 'enmity', 'so-called', 'late-night', 'wars', '1990s', ',', 'hosts', 'made', 'concerted', 'effort', 'show', 'friendly', ',', 'still', 'competitive', ',', 'terms', '.']",19,"['the', 'of', 'the', 'from', 'the', 'the', 'have', 'a', 'to', 'that', 'they', 'are', 'on', 'if']",14,0.42,
Sentence 30,36,"['James', 'Corden', 'signed', '“', 'Late', 'Late', 'Show', '”', 'last', 'week', ',', 'taped', 'segment', 'featured', 'Mr.', 'Colbert', ',', 'Mr.', 'Fallon', ',', 'Mr.', 'Kimmel', 'Mr.', 'Meyers', 'together', '.']",26,"['When', 'off', 'from', 'The', 'there', 'was', 'a', 'that', 'and', 'all']",10,0.28,
Sentence 31,28,"['Mr.', 'Meyers', ',', 'host', 'NBC', '’', '12:30', 'a.m.', 'show', ',', 'alluded', 'devastation', 'last', 'strike', 'segment', 'late', 'last', 'week', '.']",19,"['the', 'of', 's', 'to', 'the', 'of', 'the', 'in', 'a']",9,0.32,
Sentence 32,19,"['“', '’', 'affect', 'writers', ',', '”', 'Mr.', 'Meyers', 'said', 'web-only', 'video', '.']",12,"['It', 'doesn', 't', 'just', 'the', 'in', 'the']",7,0.37,
Sentence 33,80,"['“', 'affects', 'incredible', 'nonwriting', 'staff', 'shows.', '”', 'added', 'proud', 'member', 'W.G.A.', ',', 'felt', 'strongly', 'writers', 'asking', '“', 'unreasonable.', '”', '“', '’', 'see', 'next', 'week', ',', 'know', 'something', 'done', 'lightly', ',', 'heartbroken', 'miss', 'well', ',', '”', 'said', '.']",37,"['It', 'all', 'the', 'on', 'these', 'He', 'that', 'he', 'was', 'a', 'of', 'the', 'and', 'that', 'he', 'that', 'what', 'the', 'were', 'for', 'was', 'not', 'If', 'you', 'don', 't', 'me', 'here', 'that', 'it', 'is', 'that', 'is', 'not', 'and', 'that', 'I', 'will', 'be', 'to', 'you', 'as', 'he']",43,0.54,
Sentence 34,40,"['strike', 'would', 'stretch', 'significantly', 'longer', 'time', 'viewers', 'began', 'see', 'effects', 'scripted', 'TV', 'shows', 'movies', ',', 'production', 'process', 'take', 'months', 'year', '.']",21,"['The', 'have', 'to', 'for', 'a', 'before', 'to', 'the', 'on', 'and', 'because', 'the', 'for', 'them', 'can', 'or', 'more', 'than', 'a']",19,0.47,
Sentence 35,28,"['mere', 'fact', 'many', 'productions', 'suddenly', 'stopped', 'blow', 'industry', 'already', 'rocked', 'recent', 'years', 'pandemic', 'sweeping', 'technological', 'shifts', '.']",17,"['But', 'the', 'that', 'was', 'a', 'to', 'an', 'in', 'by', 'the', 'and']",11,0.39,
Sentence 36,9,"['biggest', 'issue', 'writers', 'pay', '.']",5,"['The', 'for', 'the', 'is']",4,0.44,
Sentence 37,20,"['said', 'compensation', 'stagnated', 'even', 'television', 'production', 'rapidly', 'grown', 'past', 'decade', '.']",11,"['They', 'have', 'that', 'their', 'has', 'as', 'has', 'over', 'the']",9,0.45,
Sentence 38,56,"['unions', 'representing', 'writers', ',', 'East', 'West', 'branches', 'Writers', 'Guild', 'America', ',', 'said', '“', 'companies', '’', 'behavior', 'created', 'gig', 'economy', 'inside', 'union', 'work', 'force', ',', 'immovable', 'stance', 'negotiation', 'betrayed', 'commitment', 'devaluing', 'profession', 'writing.', '”', 'W.G.A', '.']",35,"['The', 'the', 'the', 'and', 'of', 'the', 'of', 'the', 'has', 'a', 'a', 'and', 'their', 'in', 'this', 'has', 'a', 'to', 'further', 'the', 'of']",21,0.38,
Sentence 39,114,"['leaders', 'called', 'moment', '“', 'existential', ',', '”', 'arguing', '“', 'survival', 'writing', 'profession', 'stake', 'negotiation.', '”', 'Alliance', 'Motion', 'Picture', 'Television', 'Producers', ',', 'bargains', 'behalf', 'Hollywood', 'companies', ',', 'said', 'statement', 'shortly', 'strike', 'announced', 'offer', 'included', '“', 'generous', 'increases', 'compensation', 'writers.', '”', 'primary', 'sticking', 'points', ',', 'according', 'studios', ',', 'involve', 'union', 'proposals', 'would', 'require', 'companies', 'staff', 'television', 'shows', 'certain', 'number', 'writers', 'specified', 'period', 'time', '“', 'whether', 'needed', 'not.', '”', 'Chris', 'Keyser', ',', 'chair', 'W.G.A', '.']",72,"['have', 'this', 'that', 'the', 'the', 'of', 'as', 'a', 'is', 'at', 'in', 'this', 'The', 'of', 'and', 'which', 'on', 'of', 'in', 'a', 'before', 'the', 'was', 'that', 'its', 'in', 'for', 'The', 'to', 'the', 'that', 'to', 'with', 'a', 'of', 'for', 'a', 'of', 'or', 'a', 'of', 'the']",42,0.37,
Sentence 40,55,"['negotiating', 'committee', ',', 'said', 'interview', 'early', 'Tuesday', 'morning', '“', 'philosophically', ',', 'practically', ',', '’', 'far', 'apart.', '”', 'last', 'decade', ',', 'period', 'often', 'referred', 'Peak', 'TV', ',', 'number', 'scripted', 'television', 'shows', 'broadcast', 'United', 'States', 'risen', 'sharply', '.']",36,"['in', 'an', 'that', 'and', 'we', 're', 'very', 'Over', 'the', 'a', 'that', 'is', 'to', 'as', 'the', 'of', 'in', 'the', 'has']",19,0.35,
Sentence 41,11,"['Writers', ',', 'however', ',', 'said', 'pay', 'stagnated', '.']",8,"['that', 'their', 'has']",3,0.27,
Sentence 42,31,"['network', 'television', 'era', ',', 'writer', 'could', 'get', 'work', 'show', '20', 'episodes', 'season', ',', 'providing', 'steady', 'living', 'entire', 'year', '.']",19,"['In', 'the', 'a', 'on', 'a', 'with', 'more', 'than', 'a', 'a', 'for', 'an']",12,0.39,
Sentence 43,32,"['However', ',', 'streaming', 'era', ',', 'episode', 'orders', 'declined', '8', '12', ',', 'median', 'weekly', 'pay', 'writer-producer', 'gone', 'slightly', ',', 'W.G.A', '.']",20,"['in', 'the', 'have', 'to', 'or', 'and', 'the', 'for', 'a', 'has', 'down', 'the']",12,0.38,
Sentence 44,2,"['said', '.']",2,[],0,0.0,
Sentence 45,26,"['“', '’', 'making', 'impossible', 'younger', 'writers', 'make', 'living', ',', '”', 'Mr.', 'Kushner', ',', 'playwright', 'screenwriter', ',', 'said', '.']",18,"['They', 're', 'it', 'for', 'to', 'a', 'the', 'and']",8,0.31,
Sentence 46,29,"['“', 'wages', 'declined', 'since', 'last', 'strike.', '”', 'writers', 'want', 'also', 'fix', 'formula', 'residual', 'payments', ',', 'upended', 'streaming', '.']",18,"['Our', 'have', 'the', 'The', 'to', 'the', 'for', 'which', 'have', 'been', 'by']",11,0.38,
Sentence 47,21,"['Years', 'ago', ',', 'writers', 'could', 'receive', 'residual', 'payments', 'whenever', 'show', 'licensed', '—', 'syndication', 'DVD', 'sales', '.']",16,"['a', 'was', 'into', 'or', 'through']",5,0.24,
Sentence 48,21,"['global', 'streaming', 'services', 'like', 'Netflix', 'Amazon', 'cut', 'distribution', 'arms', 'pay', 'fixed', 'residual', 'instead', '.']",14,"['But', 'and', 'have', 'off', 'those', 'and', 'a']",7,0.33,
Sentence 49,17,"[',', 'writers', '’', 'creative', 'energy', 'solely', 'dedicated', 'picket', 'signs', '.']",10,"['For', 'now', 'the', 'will', 'be', 'to', 'their']",7,0.41,
Sentence 50,32,"['Outside', 'NBCUniversal', 'event', ',', 'one', 'writer', 'held', 'sign', 'read', ',', '“', 'Pay', 'writers', '’', 'spoil', '‘', 'Succession.', '’', '”', 'Brooks', 'Barnes', 'contributed', 'reporting', '.']",24,"['the', 'up', 'a', 'that', 'your', 'or', 'we', 'll']",8,0.25,
Sentence 51,7,"['John', 'Koblin', 'covers', 'television', 'industry', '.']",6,['the'],1,0.14,
Sentence 52,26,"['co-author', '“', '’', 'TV', ':', 'Spectacular', 'Rise', ',', 'Revolution', ',', 'Future', 'HBO.', '”', '@', 'koblin', 'Advertisement']",16,"['He', 'is', 'the', 'of', 'It', 's', 'Not', 'The', 'and', 'of']",10,0.38,
